P0006_tLung,P0008_tLung,P0018_tLung,P0019_tLung,P0020_tLung,P0025_tLung,P0028_tLung,P0030_tLung,P0031_tLung,P0034_tLung,P1006_tL.B,P1028_tL.B,P1049_tL.B,P1058_tL.B
AAMP,0.36962077,0.33254194,0.47899145,0.37101638,0.36979476,0.3204529,0.5048229,0.3939222,0.51812625,0.72203875,1.0303664,0.5246908,0.54318845,0.3836156
AANAT,0.0006372772,0.0006358354,0.00042881953,0.00083280896,0.00047470443,0.0014370085,0.0024694342,0.00072412164,0.0006250015,0.0004029234,0,0.0034801965,0.0012902339,0
AAR2,0.091130644,0.06867023,0.13422051,0.11034718,0.08829502,0.08047248,0.12523559,0.08327399,0.098125234,0.12007118,0.16656028,0.097854935,0.13289408,0.0847176
AARD,0.012108266,0.0012716708,0.0051458348,0.012492133,0.009019384,0.00862205,0.02963321,0.37654325,0.010625026,0.053588815,0.5479905,0,0.0038707014,0.0011932056
AARS1,0.106425285,0.103641175,0.1204983,0.14116111,0.14478485,0.12501973,0.11641618,0.12816954,0.13375033,0.12651795,0.33888885,0.20840237,0.14966713,0.16227597
AARS2,0.027402919,0.011445038,0.0351632,0.026233481,0.020886993,0.015088589,0.023283236,0.018827163,0.022500055,0.020146172,0.07498817,0.011464178,0.041287486,0.016108276
AARSD1,0.073286876,0.08456611,0.068182305,0.057047416,0.07832623,0.07759845,0.082902424,0.04489554,0.0806252,0.07091452,0.11536643,0.07554074,0.07870426,0.051904444
AASDH,0.13637732,0.103641175,0.10163023,0.11034718,0.11392906,0.061072856,0.108655095,0.110066496,0.14250034,0.15673721,0.16439715,0.09703607,0.12644292,0.07755837
AASDHPPT,0.17525123,0.15005715,0.2238438,0.17530629,0.17801416,0.14513785,0.23424345,0.20854704,0.14562535,0.17366,0.3893617,0.19263911,0.25288585,0.17957745
AASS,0.05416856,0.0305201,0.012435767,0.022485843,0.015665246,0.022992136,0.034924854,0.07530865,0.047500115,0.06527359,0.012257683,0.03357366,0.012902339,0.022074305
AATBC,0.00892188,0.0025433416,0.013722225,0.025817078,0.019462882,0.010777564,0.026458222,0.028964866,0.0037500092,0.009267239,0.0014420802,0.042785946,0.018063273,0.00417622
AATF,0.28868657,0.27404508,0.28173444,0.32063144,0.33846426,0.3053643,0.3615957,0.35988846,0.25687563,0.3066247,0.31221038,0.33655548,0.33546078,0.38600203
AATK,0.012108266,0.005722519,0.0064322934,0.01207573,0.02563404,0.016525596,0.044449814,0.06372271,0.022500055,0.06003559,0.0050472813,0.037258573,0.0051609357,0.0035796168
PVALEF,0,0,0,0,0,0,0,0,0,0.002014617,0,0,0.0012902339,0
ABALON,0.0019118317,0.0012716708,0.0017152781,0.0016656179,0.0018988177,0,0.0010583289,0.00072412164,0,0.0036263107,0.012978722,0.0014330222,0.0064511695,0.002983014
ABAT,0.056717668,0.03878596,0.03173265,0.040391233,0.04414751,0.028021663,0.021519354,0.054309126,0.026250064,0.020549094,0.10310874,0.012487764,0.046448417,0.02326751
ABCA1,0.4754088,0.19520149,0.29116848,0.32396266,0.5938552,0.27949813,0.36053738,0.14772081,0.2925007,0.32395044,0.7924232,0.06407656,0.12515268,0.19747552
ABCA10,0.048433065,0.020346733,0.003001737,0.0029148313,0.0014241133,0.004311025,0.0003527763,0.0028964865,0.03250008,0.010476009,0.0007210401,0.0012283047,0.0012902339,0.0053694253
ABCA12,0,0,0.02787327,0.0012492135,0.014715837,0.00071850425,0.01622771,0.00072412164,0.0018750046,0.03908357,0.0007210401,0.0016377396,0,0.045341812
ABCA13,0.0019118317,0.0006358354,0.036449663,0,0.0018988177,0.0021555126,0.005291644,0.00868946,0.010000024,0.0008058468,0.005768321,0.0073698275,0.01677304,0.025057318
ABCA2,0.06054133,0.02924843,0.05188717,0.044971686,0.064085096,0.027303161,0.032102644,0.026792502,0.07562518,0.063258976,0.050472815,0.09969739,0.12902339,0.03579617
ABCA3,0.087944254,0.027340923,0.031303827,0.46970424,0.12817019,0.13148627,0.48012856,0.25489083,0.10250025,0.22080202,0.041099288,0.30236766,0.06709216,0.07397875
ABCA4,0.008284603,0.011445038,0.034734383,0.015406965,0.049843967,0,0.15310492,0.002172365,0.0031250075,0.04875373,0.0014420802,0.005732089,0,0.07755837
ABCA5,0.12681817,0.10745619,0.04545487,0.07536921,0.0431981,0.08119097,0.055738654,0.08327399,0.11312528,0.21113187,0.13483451,0.04401425,0.10966987,0.0626433
ABCA6,0.2236843,0.07693609,0.01929688,0.044971686,0.021836404,0.022992136,0.005291644,0.03475784,0.07000017,0.011281855,0.0021631205,0.0014330222,0.0064511695,0.020284496
ABCA7,0.066914104,0.042600974,0.43396538,0.14449236,0.27200565,0.07328743,0.30162373,0.14265198,0.13125032,0.21475819,0.44992906,0.44894534,0.14966713,0.18256047
ABCA8,0.40849468,0.16531721,0.023156255,0.03997483,0,0.020836622,0.00952496,0.0499644,0.17437541,0.0052380045,0.020189125,0.0016377396,0.0012902339,0.045341812
ABCA9,0.063727714,0.024797583,0.003001737,0.0062460667,0.0023735221,0.004311025,0.0014111052,0.005792973,0.04500011,0.004835081,0.0021631205,0.00061415235,0.0025804678,0.0053694253
ABCA9-AS1,0,0,0,0,0,0,0,0,0,0,0.009373521,0.00020471745,0,0
