GeneID,Bcells,Malignant,Fibroblasts
ADGRL4,0.0017735978,0.0010191506,0.012662046
ADGRV1,0.0,0.055543706,0.0025324093
ADH1A,0.0,0.00016985844,0.0025324093
ADH1B,0.023056772,0.0018684427,5.1939707
ADH1C,0.0017735978,0.37708572,0.06837505
ADH4,0.0,0.00033971688,0.0025324093
ADH5,0.14011422,0.5272406,0.9116673
ADH6,0.0,0.00067943375,0.0
ADH7,0.0,0.0042464607,0.0
ADHFE1,0.0017735978,0.022251453,0.035453726
ADI1,0.42743704,1.2199233,1.2738018
ADIG,0.0,0.0,0.0
ADIPOQ,0.0,0.00084929215,0.0
ADIPOQ-AS1,0.0,0.00016985844,0.0
ADIPOR1,0.4061539,0.98025304,0.43810678
ADIPOR2,0.03015116,0.2157202,0.12662046
ADIRF,0.033698358,1.3332188,4.859693
ADK,0.14011422,0.5773488,0.23804645
ADM,0.118831046,0.14064278,0.85342187
ADM2,0.033698358,0.08221148,0.020259274
ADM5,0.0035471956,0.02921565,0.022791682
ADNP,0.053207934,0.35228637,0.18993069
ADNP-AS1,0.008867989,0.011210657,0.012662046
ADNP2,0.033698358,0.15168358,0.10382878
ADO,0.023056772,0.097498745,0.12155564
ADORA1,0.0,0.0866278,0.04051855
ADORA2A,0.0035471956,0.00033971688,0.0
ADORA2A-AS1,0.02483037,0.0022081595,0.03038891
ADORA2B,0.0035471956,0.095800154,0.0050648185
ADORA3,0.0017735978,0.0020383012,0.0025324093
ADPGK,0.22702052,0.2941948,0.24564368
ADPGK-AS1,0.010641587,0.00322731,0.0025324093
ADPRH,0.019509576,0.012569523,0.022791682
ADPRHL1,0.0053207935,0.034820978,0.010129637
ADPRHL2,0.05675513,0.2750008,0.17980105
ADPRM,0.033698358,0.039237298,0.09876396
ADRA1A,0.0,0.00016985844,0.0050648185
ADRA1B,0.0,0.00016985844,0.0
ADRA1D,0.0,0.0,0.0025324093
ADRA2A,0.0,0.007813488,0.29375947
ADRA2B,0.0,0.0049258946,0.0
ADRA2C,0.0,0.0010191506,0.0050648185
ADRB1,0.0017735978,0.020213153,0.0
ADRB2,0.044339944,0.30064943,0.020259274
ADRB3,0.0,0.00033971688,0.0025324093
GRK2,0.085132696,0.39203325,0.08863433
GRK3,0.039019153,0.057242293,0.07090745
ADRM1,0.5178906,0.8790174,0.84582466
ADSL,0.10818946,0.27517065,0.32668078
ADSS2,0.122378245,0.60979176,0.31655115
ADSS1,0.0053207935,0.1921099,0.093699135
ADTRP,0.021283174,0.00866278,0.0075972276
AEBP1,0.039019153,0.019703578,6.3740735
AEBP2,0.03015116,0.19075102,0.23298164
AEN,0.070943914,0.101915054,0.08863433
TLE5,0.35471955,2.1101513,1.1851676
AFAP1,0.0017735978,0.095630296,0.278565
AFAP1-AS1,0.0035471956,0.1119367,0.0
AFAP1L1,0.0017735978,0.012229807,0.025324091
AFAP1L2,0.0035471956,0.0151174,0.03038891
AFF1,0.037245553,0.17733221,0.11395841
AFF2,0.0053207935,0.00067943375,0.0
AFF3,0.06562312,0.015626976,0.022791682
AFF4,0.20396374,0.6967593,0.83822745
AFG3L2,0.0815855,0.2247227,0.17726865
AFM,0.0,0.00016985844,0.0
AFMID,0.044339944,0.23423478,0.07850468
AFP,0.0,0.0018684427,0.0
AFTPH,0.12769905,0.2733022,0.13421768
AGA,0.21637893,0.15762863,0.1418149
AGAP1,0.0017735978,0.1601765,0.09116673
AGAP14P,0.0,0.0,0.0
AGAP2,0.017735979,0.001189009,0.012662046
AGAP2-AS1,0.0035471956,0.07728559,0.1392825
AGAP3,0.019509576,0.28502244,0.08863433
AGAP4,0.010641587,0.03448126,0.04051855
AGAP5,0.0035471956,0.023610322,0.015194455
AGAP6,0.010641587,0.058261443,0.04051855
AGAP9,0.0053207935,0.023440463,0.015194455
AGBL1,0.0,0.00067943375,0.0
AGBL1-AS1,0.0,0.0,0.0
AGBL2,0.0017735978,0.011210657,0.0050648185
AGBL3,0.0053207935,0.015287259,0.022791682
AGBL4,0.0,0.0045861774,0.0050648185
AGBL5,0.019509576,0.13758533,0.06331023
AGBL5-AS1,0.0,0.0013588675,0.0
AGER,0.01596238,0.1814088,0.012662046
AGFG1,0.06030232,0.23559365,0.15447697
AGFG2,0.014188782,0.05316569,0.025324091
AGGF1,0.06562312,0.29113734,0.3064215
AGK,0.019509576,0.061318893,0.055712998
AGL,0.044339944,0.12620482,0.07343987
AGMAT,0.008867989,0.015287259,0.0025324093
AGMO,0.0,0.0,0.0050648185
AGO1,0.03192476,0.15032472,0.14687973
AGO2,0.09400068,0.41955033,0.25830573
AGO3,0.074491106,0.26175186,0.29882428
AGO4,0.0053207935,0.08102247,0.053180594
AGPAT1,0.067396715,0.27890754,0.31908354
AGPAT2,0.13656703,1.9392736,0.57232445
AGPAT3,0.02483037,0.26277098,0.08610191
AGPAT4,0.007094391,0.02802664,0.093699135
AGPAT5,0.04079275,0.07337884,0.07343987
AGPS,0.03015116,0.13130057,0.15447697
AGR2,0.115283854,7.9311996,0.07343987
AGR3,0.017735979,6.241788,0.050648183
AGRN,0.017735979,1.1159699,0.16460659
AGRP,0.0017735978,0.0037368855,0.0
AGT,0.0,0.11295586,0.23551406
AGTPBP1,0.019509576,0.049428806,0.027856499
AGTR1,0.0,0.0010191506,0.11649082
AGTR2,0.0,0.0005095753,0.0
AGTRAP,0.04788714,0.5537385,0.69641256
AGXT,0.0,0.0,0.0
AGXT2,0.0,0.0,0.0
AHCTF1,0.03192476,0.1752939,0.11395841
AHCY,0.13834062,0.59790164,0.65336156
AHCYL1,0.09932148,1.1258217,0.8078385
AHCYL2,0.007094391,0.3305445,0.027856499
AHDC1,0.01596238,0.28502244,0.24311128
AHI1,0.1596238,0.34005657,0.5824541
AHNAK,0.4167955,0.7964662,2.400724
AHNAK2,0.0035471956,0.23474436,0.14687973
AHR,0.046113543,2.079407,0.711607
AHRR,0.0017735978,0.0057751867,0.0050648185
AHSA1,0.20573734,0.4805295,0.42797714
AHSA2P,0.06030232,0.15949707,0.16967142
AHSG,0.0,0.00084929215,0.0
AHSP,0.0017735978,0.00067943375,0.010129637
AICDA,0.02483037,0.00016985844,0.0
AIDA,0.13834062,0.5917868,0.62297267
AIF1,0.11351026,0.11941048,0.24564368
AIF1L,0.0035471956,0.11295586,0.020259274
AIFM1,0.067396715,0.13656618,0.1392825
AIFM2,0.053207934,0.14862613,0.101296365
AIFM3,0.0035471956,0.040766023,0.0
AIG1,0.18090697,0.4273638,0.52167624
CRYBG1,0.051434334,0.15304244,0.032921318
CRYBG2,0.0,0.025308907,0.0025324093
AIM2,0.154303,0.02581848,0.03038891
AIMP1,0.28200203,0.7793105,0.5824541
AIMP2,0.051434334,0.31661615,0.18993069
AIP,0.3990595,0.5542481,0.7141394
AIPL1,0.0,0.0030574517,0.0
AIRE,0.0017735978,0.00016985844,0.0025324093
AIRN,0.0,0.00016985844,0.0
AJAP1,0.0053207935,0.0,0.0025324093
AJUBA,0.0035471956,0.112786,0.05824541
AK1,0.044339944,2.19559,1.0889359
AK2,0.20573734,1.1640399,0.5773893
AK3,0.13301983,0.44604826,0.82809776
AK4,0.007094391,0.1724063,0.101296365
AK5,0.0017735978,0.00016985844,0.010129637
AK6,0.18800136,0.40511236,0.38999102
AK7,0.0,0.011040798,0.0
AK8,0.010641587,0.008323063,0.017726863
AK9,0.062075924,0.06284762,0.045583364
AKAP1,0.03192476,0.48851284,0.1418149
AKAP10,0.058528725,0.09597002,0.0810371
AKAP11,0.05675513,0.11737218,0.2203196
AKAP12,0.010641587,0.1217885,1.3523065
AKAP13,0.3901915,0.970741,1.3725657
AKAP14,0.0,0.0010191506,0.0025324093
AKAP17A,0.20396374,0.24255784,0.22791682
AKAP3,0.0,0.0013588675,0.0050648185
AKAP4,0.0,0.0,0.0
AKAP5,0.01596238,0.008832638,0.0075972276
AKAP6,0.0017735978,0.019703578,0.025324091
AKAP7,0.017735979,0.03159367,0.08610191
AKAP8,0.09932148,0.14488925,0.1367501
AKAP8L,0.08867989,0.25342876,0.22538441
AKAP9,0.5799665,1.0490457,1.2560749
AKIP1,0.042566348,0.21826808,0.25830573
AKIRIN1,0.18622777,0.4445195,0.30135667
AKIRIN2,0.27136046,0.20009324,0.29122704
AKNA,0.19686934,0.12637468,0.12915286
AKNAD1,0.0,0.0073039127,0.022791682
AKR1A1,0.608344,0.9761764,1.0965332
AKR1B1,0.308606,0.30013984,0.7749172
AKR1B10,0.0,0.07083096,0.0
AKR1B15,0.0,0.019703578,0.0
AKR1C1,0.0035471956,0.2962331,0.27096778
AKR1C2,0.0017735978,0.32137212,0.10382878
AKR1C3,0.0017735978,0.4061315,0.2557733
AKR1C4,0.0,0.00084929215,0.0
AKR1D1,0.0,0.00016985844,0.0
AKR1E2,0.0,0.0062847617,0.0
AKR7A2,0.19864295,0.66516566,1.2636721
AKR7A3,0.0,0.027686924,0.012662046
AKT1,0.039019153,0.4857951,0.15194455
AKT1S1,0.085132696,0.25444794,0.44823644
AKT2,0.10818946,0.42566523,0.2481761
AKT3,0.03015116,0.005945045,0.2735002
AKTIP,0.03015116,0.15321231,0.24311128
ALAD,0.035471957,0.12297751,0.14687973
ALAS1,0.044339944,0.23814152,0.17473623
ALAS2,0.0,0.0,0.0
ALB,0.0,0.0090024965,0.0025324093
ALCAM,0.067396715,0.96734375,0.1367501
ALDH16A1,0.17026539,0.15253288,0.17220382
ALDH18A1,0.042566348,0.2055287,0.20259273
ALDH1A1,0.01596238,0.050957527,1.3953574
ALDH1A2,0.0017735978,0.011210657,0.17220382
ALDH1A3,0.0017735978,0.08289091,0.50901425
ALDH1B1,0.007094391,0.07643629,0.15954177
ALDH1L1,0.0017735978,0.013248957,0.020259274
ALDH1L1-AS1,0.0,0.0,0.0
ALDH1L1-AS2,0.0,0.00016985844,0.0
ALDH1L2,0.023056772,0.0062847617,0.101296365
ALDH2,0.1578502,1.0836967,1.8739827
ALDH3A1,0.0,0.035330553,0.010129637
ALDH3A2,0.05675513,0.4377252,0.26843536
ALDH3B1,0.0035471956,0.33699912,0.075972274
ALDH3B2,0.0,0.04348376,0.0
ALDH4A1,0.0035471956,0.05622314,0.020259274
ALDH5A1,0.033698358,0.11924062,0.025324091
ALDH6A1,0.039019153,0.24731387,0.26083812
ALDH7A1,0.010641587,0.18565527,0.34440765
ALDH8A1,0.0017735978,0.0013588675,0.0075972276
ALDH9A1,0.13656703,0.27958697,0.5596624
ALDOA,1.8764664,8.853361,5.1838417
ALDOB,0.0,0.0066244784,0.0
ALDOC,0.051434334,0.20943543,0.19499551
ALG1,0.06917031,0.13350873,0.12408805
ALG10,0.012415185,0.015966693,0.025324091
ALG10B,0.007094391,0.026158197,0.048115775
ALG11,0.017735979,0.017495418,0.035453726
ALG12,0.05498153,0.16085595,0.20006034
