CID3586,CID3838,CID3921,CID3941,CID3946,CID3948,CID3963,CID4040,CID4066,CID4067,CID4290A,CID4398,CID44041,CID4461,CID4463,CID4465,CID4471,CID4495,CID44971,CID44991,CID4513,CID4515,CID45171,CID4523,CID4530N,CID4535
ATAD3A,0.04465887,0.11504405,0.18646389,0.047667228,0.12965171,0.060343605,0.07692391,0.11300459,0.09633579,0.059560217,0.050554167,0.01036344,0.02488731,0.011496896,0.054284554,0.14381814,0.09730847,0.18479945,0.11635716,0.15937974,0.15963654,0.23900205,0.23201925,0.2277013,0.13187525,0.12120183
TMEM240,0.0010892407,0.0019835182,0.0018796762,0,0.009260837,0,0.0020979247,0.0043296777,0.0053126356,0.0021021254,0.001478192,0,0.007859151,0,0,0.005326598,0.004973176,0.00018572809,0.0015111319,0.0035008267,0.005039032,0.000935795,0.0028503593,0.002359599,0.0011175869,0.0009071993
SSU72,1.151872,0.8301024,2.5958328,0.68720245,0.8242145,0.77943826,1.2657479,0.9551269,1.4375992,0.65866596,0.8289701,0.18861459,0.5278729,1.3681306,0.8382788,1.3316494,0.7691845,1.3491288,1.8794703,2.466056,1.1849788,1.0645604,2.039717,2.4225218,1.7406415,1.0552542
RP5-832C2.5,0.04139115,0.061737,0.02067644,0.03177815,0.1759559,0.03687665,0.018182015,0.08226388,0.023375597,0.028729046,0.023651073,0.04974451,0.06942249,0,0.022966541,0.031959586,0.03845923,0.02544475,0.041178346,0.06117234,0.03607947,0.03799328,0.043895535,0.03185459,0.04079192,0.021228464
C1orf233,0.0032677222,0.0654561,0.070675835,0.047667228,0.074086696,0.018438324,0.0090910075,0.01948355,0.027625704,0.041341797,0.013895005,0.004145376,0.023577452,0,0.027142277,0.015979793,0.014753756,0.009843589,0.014733535,0.062462118,0.020962374,0.019277377,0.022802874,0.025562324,0.016577538,0.012337911
RP11-345P4.9,0.04738197,0.03272805,0.04774378,0.03177815,0.037043348,0.030171802,0.034266103,0.039833035,0.058793165,0.051151715,0.019216498,0.0072544077,0.043225326,0.03449069,0.04697702,0.06924577,0.04790826,0.038259987,0.07933442,0.09249553,0.030234193,0.022271922,0.07581956,0.023202725,0.07171182,0.034836452
MIB2,0.20804499,0.1576897,0.18796763,0.10327899,0.1759559,0.13074449,0.19930285,0.21302015,0.1384827,0.12612751,0.065336086,0.022799568,0.044535186,0.17245343,0.10856911,0.117185146,0.1485322,0.14208199,0.18662478,0.16417034,0.116099305,0.09339234,0.18926387,0.11640689,0.20582223,0.10360216
MMP23B,0.026141778,0.05330705,0.028195145,0.019861342,0.018521674,0.011733479,0.012587547,0.046760518,0.17637949,0.018919129,0.013599367,0.016581504,0.037985895,0.03449069,0.056372423,0.07989896,0.30949733,0.046989206,0.07687883,0.03058617,0.019954568,0.036496006,0.035344455,0.004719198,0.04526227,0.008527674
CDK11B,0.13070889,0.22562519,0.1823286,0.20655797,0.30560762,0.12739205,0.16503674,0.24765755,0.12891996,0.13243389,0.10820366,0.06839871,0.40867582,0.13796276,0.27142277,0.14381814,0.20141362,0.18461373,0.2240253,0.27085343,0.1973285,0.19539401,0.3141096,0.22494845,0.15515831,0.21827216
RP11-345P4.10,0.0032677222,0.004214976,0.009398382,0.011916807,0,0.008381057,0.0041958494,0.0064945165,0.0035417571,0.009809918,0.0020694688,0.001036344,0,0,0.0062636025,0.005326598,0.002486588,0.004271746,0.0011333489,0.006448891,0.003426542,0.002058749,0.011971509,0.0055057313,0.009126959,0.0047174366
SLC35E2B,0.14922598,0.17479753,0.16804306,0.19861344,0.24078175,0.12906827,0.12307825,0.19050582,0.15619148,0.413418,0.1478192,0.13679741,0.3392533,0.20694414,0.20565495,0.12783834,0.16195977,0.08543492,0.14091305,0.228475,0.09211352,0.048848502,0.2690739,0.03854012,0.3125518,0.29683563
RP11-345P4.7,0.0005446203,0.00049587956,0,0.0039722687,0.009260837,0,0,0.0030307742,0.00070835144,0.004904959,0.0044345763,0.002072688,0.0026197168,0,0.0010439337,0,0.0011604078,0.0013000966,0.015677994,0.004974859,0.0006046839,0.000187159,0.003990503,0.00078653306,0.00074505794,0.001270079
CDK11A,0.19388485,0.21893081,0.1770655,0.23436385,0.27782512,0.07542951,0.16433744,0.21994762,0.111211166,0.16536719,0.09815195,0.18965095,0.37461948,0.06898138,0.18060054,0.09055216,0.10178433,0.17885615,0.098979145,0.2012054,0.21224405,0.2300184,0.26109293,0.14393555,0.10468063,0.15240948
SLC35E2,0.016883232,0.011653169,0.023307987,0.007944537,0.046304185,0.031848013,0.013286856,0.012989033,0.019479664,0.041341797,0.011529898,0.0062180636,0.037985895,0.011496896,0.054284554,0.005326598,0.0071282187,0.025259022,0.024367003,0.023031754,0.015923342,0.002994544,0.029643737,0.007472064,0.01210719,0.020321265
NADK,0.08005919,0.28066784,0.30563536,0.13108487,0.3519118,0.1039251,0.17202984,0.21258716,0.13423258,0.16746932,0.08366568,0.04663548,0.10609853,0.18395033,0.12840386,0.106531955,0.16544099,0.22955991,0.13581298,0.26035094,0.27170464,0.15590346,0.3123994,0.21315046,0.25350595,0.15367955
GNB1,0.2761225,1.3505279,0.85487676,0.38133782,1.3798647,0.39223346,0.46084413,1.2006196,0.51355475,0.76237077,0.4609003,0.6290608,0.50429547,0.47137272,0.2943893,0.7350705,0.6635875,0.42364576,0.35322708,0.7631802,0.85320896,0.47950137,0.50565374,0.47545925,0.5856155,0.399712
RP1-140A9.1,0.0021784813,0.0029752771,0.0109021235,0,0,0.0016762113,0,0.0025978065,0.0014167029,0.002802834,0.0011825536,0,0,0,0.0020878674,0.015979793,0.002486588,0.0029716494,0.00075556594,0.0016582862,0.0024187355,0.000935795,0.007410934,0,0.0037252894,0.0074390345
CALML6,0.0010892407,0,0,0,0,0,0,0.00043296776,0,0.0007007085,0.0008869152,0,0.0039295754,0,0.0020878674,0,0.0016577253,0.00018572809,0.00056667445,0.0029480646,0.0006046839,0,0.0011401437,0,0.0022351737,0.0009071993
TMEM52,0.01470475,0.0037190965,0.05488655,0.039722685,0,0.08045814,0.013986164,0.0043296777,0.017000435,0.0070070843,0.018920857,0.0031090318,0.009169009,0.011496896,0.016702939,0.010653196,0.014753756,0.020430092,0.009633466,0.17098776,0.0030234193,0.03705748,0.03135395,0.03067479,0.028125934,0.047718685
GABRD,0.0081693055,0.04785238,0.020300504,0.10725126,0.11113005,0.03687665,0.006993082,0.10564413,0.07614777,0.021721963,0.03991119,0.002072688,0.006549292,0.011496896,0.018790808,0.005326598,0.039785407,0.0330596,0.014355754,0.06448891,0.01410929,0.001310113,0.015962012,0,0.031478696,0.039916772
PRKCZ,0.06644369,0.027273374,0.2015013,0.123140335,0.009260837,0.055314973,0.1349665,0.05974955,0.08535634,0.060260925,0.065336086,0.0062180636,0.045845047,0.11496896,0.13362351,0.07457237,0.06929292,0.12220909,0.09614577,0.24395235,0.026001407,0.15028869,0.07866992,0.0916311,0.08344649,0.11630295
RP11-181G12.2,0.0005446203,0.0012396988,0,0,0,0,0.0006993082,0.003463742,0.0021250544,0.0007007085,0.0011825536,0,0.0052394336,0,0,0.010653196,0.0019892703,0.00037145618,0.0011333489,0.0011055243,0.0006046839,0,0.0017102156,0.00078653306,0.0027939673,0.0009071993
FAAP20,0.7461299,0.55067426,1.1469785,0.8500655,0.9075621,1.1197091,0.873436,0.590568,1.4978089,1.146359,0.8038408,0.04145376,0.32615474,0.8737641,0.93536466,1.0866259,1.0886282,1.1128826,1.383819,2.5931911,1.5088878,0.85999566,0.81976336,0.9371541,0.91120577,0.9335081
SKI,0.34583393,0.49414396,0.21277936,0.28600335,0.3796943,0.21790747,0.29440877,0.4740997,0.24686046,0.18989198,0.17353976,0.06839871,0.2200562,0.2874224,0.0866465,0.27698308,0.4368106,0.15786888,0.17680244,0.16803968,0.27049527,0.12520938,0.13681725,0.06921491,0.16503033,0.04046109
