,T.cell
YIPF1,0.15530507
DIO1,0.00030462956
HSPB11,0.9939132
LRRC42,0.08703905
LDLRAD1,0.00038360764
TMEM59,2.1885104
TCEANC2,0.14273997
AL357673.1,0.0004964334
CDCP2,6.7695466e-05
AL357673.2,6.7695466e-05
CYB5RL,0.030247733
MRPL37,0.22287256
SSBP3,0.23097123
SSBP3-AS1,0.0013764743
AL161644.1,0.0009815842
AL035415.1,0.0
AC099796.1,0.0
ACOT11,0.009770771
FAM151A,1.1282579e-05
MROH7,0.0003948902
MROH7-TTC4,0.0
TTC4,0.08728782
PARS2,0.011372889
TTC22,0.06309374
AC096536.2,6.7695466e-05
LEXM,0.005787993
DHCR24,0.04024365
AC096536.3,9.026062e-05
AC096536.1,0.0006318243
TMEM61,0.00018052124
AL590440.1,0.0
BSND,0.00012410835
PCSK9,3.3847737e-05
USP24,0.3021673
MIR4422HG,0.015062129
AL603840.1,3.3847737e-05
LINC01753,0.0
LINC01755,0.0
AL353681.1,1.1282579e-05
AC119674.1,0.000112825786
AC119674.2,9.026062e-05
LINC01767,3.3847737e-05
PLPP3,0.0023467804
PRKAA2,0.00036104248
FYB2,6.7695466e-05
AL360295.1,0.0
C8A,1.1282579e-05
C8B,3.3847737e-05
AL161740.1,0.0
DAB1,0.004027898
AL390243.1,1.1282579e-05
DAB1-AS1,0.00014667351
AL445193.2,0.0
OMA1,0.24978352
TACSTD2,0.016991455
MYSM1,0.43115878
AL136985.3,0.0011846706
JUN,4.6336656
LINC01135,0.0017036714
AL136985.2,0.00022565154
AL136985.1,5.6412893e-05
AC105277.1,0.010774928
LINC01358,0.060418975
AL592431.2,1.1282579e-05
AL592431.1,4.5130317e-05
AC093424.1,0.0004513031
FGGY,0.060633708
AL035416.1,7.897804e-05
