,Mast.cell
SPOCD1,0.0
AL354919.1,0.0
AL136115.2,0.008196957
PTP4A2,1.8033273
AL136115.1,0.0
AL136115.3,0.0
KHDRBS1,1.5508616
AL445248.1,0.0032787826
TMEM39B,0.12131487
KPNA6,0.39017454
TXLNA,0.26885974
CCDC28B,0.33607477
AL049795.1,0.006557565
IQCC,0.006557565
DCDC2B,0.0016393913
TMEM234,0.08360892
EIF3I,1.0803572
FAM167B,0.0
LCK,0.08524833
HDAC1,0.49673483
MARCKSL1,0.6114926
AL109945.1,0.0
TSSK3,0.0032787826
FAM229A,0.01147574
BSDC1,0.22459628
AL033529.1,0.0
ZBTB8B,0.0
ZBTB8A,0.040984787
ZBTB8OS,0.45738938
RBBP4,0.678707
SYNC,0.11967546
AC114489.1,0.0
KIAA1522,0.50329226
YARS,0.36394435
S100PBP,0.2918112
FNDC5,0.0
HPCA,0.0
TMEM54,0.004918174
RNF19B,0.14918445
AL020995.1,0.004918174
AK2,0.46066824
AZIN2,0.01147574
TRIM62,0.024590872
AL662907.3,0.0016393913
ZNF362,0.15246326
AL513327.3,0.0016393913
A3GALT2,0.0
AL513327.1,0.0
PHC2,0.25738415
AL513327.2,0.0
ZSCAN20,0.0016393913
CSMD2,0.0
HMGB4,0.0
CSMD2-AS1,0.0
C1orf94,0.0
SMIM12,0.3819776
GJB5,0.0
GJB4,0.0
AL121988.1,0.0
GJB3,0.0
GJA4,0.0016393913
AL122010.1,0.0
DLGAP3,0.004918174
AC114490.3,0.02131209
AC114490.2,0.0032787826
TMEM35B,0.006557565
ZMYM6,0.0868877
ZMYM1,0.12295425
AL590434.1,0.0
SFPQ,3.0082986
ZMYM4,0.2704992
ZMYM4-AS1,0.0
KIAA0319L,0.23771141
NCDN,0.024590872
AC004865.2,0.09672404
TFAP2E,0.008196957
PSMB2,1.1574082
C1orf216,0.13770872
CLSPN,0.18852994
AL354864.1,0.0
AGO4,0.1327906
AGO1,0.23935083
AL139286.2,0.004918174
AGO3,0.47214398
AL138787.2,0.0
TEKT2,0.0
ADPRHL2,0.20656304
COL8A2,0.004918174
TRAPPC3,0.6278858
MAP7D1,0.2737779
THRAP3,1.6049614
SH3D21,0.05246053
EVA1B,0.23771141
AL591845.1,0.0147545235
STK40,0.13115121
LSM10,0.6082132
OSCP1,0.018033307
MRPS15,0.5639497
CSF3R,0.085248336
AL596257.1,0.0
AC117945.2,0.0
AC117945.1,0.0
GRIK3,0.0
AL031430.1,0.0
AL353604.1,0.0
LINC01137,0.06721505
ZC3H12A,0.34919006
MEAF6,0.93773013
SNIP1,0.1704965
DNALI1,0.008196957
GNL2,0.28197488
RSPO1,0.0
C1orf109,0.0868877
CDCA8,0.080330186
EPHA10,0.0
MANEAL,0.009836349
AL929472.3,0.0
YRDC,0.20328428
C1orf122,0.6065738
MTF1,0.124593645
AL929472.2,0.0016393913
INPP5B,0.13606937
SF3A3,0.46394703
FHL3,0.691822
UTP11,0.29017183
POU3F1,0.004918174
AL139158.2,0.0
AL139158.3,0.0
LINC01685,0.0016393913
AL354702.2,0.0
RRAGC,0.29836878
AL139260.1,0.009836349
MYCBP,0.15082385
AL139260.3,0.004918174
GJA9,0.0
RHBDL2,0.0016393913
AKIRIN1,0.5803436
NDUFS5,2.7361577
MACF1,1.306593
AL442071.1,0.0
BMP8A,0.0
PABPC4,1.1770809
AL365277.1,0.0
HEYL,0.0016393913
AL035404.2,0.0
NT5C1A,0.0
HPCAL4,0.0
PPIE,0.43115917
BMP8B,0.0
OXCT2,0.0016393913
AL033527.3,0.0
AL033527.5,0.004918174
AL033527.4,0.0
TRIT1,0.08360892
MYCL,0.040984787
AL033527.2,0.0016393913
MFSD2A,0.027869655
CAP1,2.5541806
PPT1,0.8311702
RLF,0.3114839
TMCO2,0.0
AL050341.2,0.039345395
ZMPSTE24,0.2819749
COL9A2,0.24262956
SMAP2,0.8606793
AL031985.4,0.0
ZFP69B,0.02295148
ZFP69,0.0147545235
AL603839.3,0.0032787826
EXO5,0.037706003
AL603839.1,0.0
AL603839.2,0.0
ZNF684,0.057378702
RIMS3,0.018033307
AL031289.1,0.0
NFYC-AS1,0.02131209
NFYC,0.3377141
KCNQ4,0.0
CITED4,0.05573931
AC119677.1,0.0
CTPS1,0.05246053
SLFNL1-AS1,0.008196957
SLFNL1,0.0
SCMH1,0.10328159
AC093151.3,0.0016393913
FOXO6,0.0016393913
AC093151.2,0.0
EDN2,0.0
HIVEP3,0.04426357
AL445933.2,0.0
GUCA2B,0.0
GUCA2A,0.0
FOXJ3,0.20328425
RIMKLA,0.0032787826
ZMYND12,0.0032787826
PPCS,0.81149733
CCDC30,0.049181744
PPIH,0.3180415
AC098484.2,0.0
YBX1,7.2674727
CLDN19,0.0032787826
P3H1,0.091805875
C1orf50,0.07213321
AC098484.3,0.0
AC098484.1,0.0
TMEM269,0.0
SVBP,0.2819749
ERMAP,0.039345395
AL512353.1,0.006557565
ZNF691,0.04590296
SLC2A1,0.08196954
SLC2A1-AS1,0.0016393913
AC099795.1,0.0
FAM183A,0.0
EBNA1BP2,0.46558645
CFAP57,0.0032787826
TMEM125,0.016393915
C1orf210,0.004918174
TIE1,0.20820245
MPL,0.0
AL139289.2,0.008196957
CDC20,0.150824
ELOVL1,0.36722314
MED8,0.45247126
AL139289.1,0.0
SZT2,0.14590572
SZT2-AS1,0.0
HYI,0.5049317
PTPRF,0.026230264
AL451062.3,0.0032787826
KDM4A,0.11147853
KDM4A-AS1,0.036066614
ST3GAL3,0.23443267
AL451062.1,0.0016393913
ARTN,0.0032787826
AL357079.1,0.0032787826
IPO13,0.036066614
DPH2,0.06065749
ATP6V0B,2.877146
B4GALT2,0.026230264
CCDC24,0.01147574
SLC6A9,0.0
AL139220.2,0.013115132
KLF17,0.0
DMAP1,0.236072
ERI3,0.24754776
RNF220,0.18033284
TMEM53,0.07541198
ARMH1,1.12626
KIF2C,0.062296875
AL592166.1,0.0016393913
RPS8,30.122211
BEST4,0.004918174
PLK3,1.0033058
TCTEX1D4,0.013115132
BTBD19,0.081969544
PTCH2,0.09344526
EIF2B3,0.1442663
HECTD3,0.062296882
UROD,0.25410533
ZSWIM5,0.0
LINC01144,0.0032787826
HPDL,0.013115132
MUTYH,0.11311792
TOE1,0.12623303
TESK2,0.091805875
CCDC163,0.004918174
MMACHC,0.0147545235
PRDX1,7.2232046
AKR1A1,1.5065984
NASP,1.1426542
CCDC17,0.004918174
GPBP1L1,0.41148654
TMEM69,0.12787239
IPP,0.050821137
MAST2,0.049181744
PIK3R3,0.13115121
AL358075.4,0.0
AL358075.1,0.0016393913
AL358075.2,0.0032787826
TSPAN1,0.0
POMGNT1,0.20000547
LURAP1,0.02131209
RAD54L,0.016393915
LRRC41,0.2819749
UQCRH,4.246057
NSUN4,0.10983913
FAAH,0.013115132
DMBX1,0.0
AL136373.1,0.0
MKNK1-AS1,0.0
KNCN,0.0
MKNK1,0.24426898
MOB3C,0.07541198
ATPAF1,0.30984446
TEX38,0.0
EFCAB14-AS1,0.0
EFCAB14,1.3574138
CYP4B1,0.0016393913
CYP4A11,0.0
CYP4X1,0.0
CYP4Z1,0.0
CYP4A22-AS1,0.0
CYP4A22,0.0
LINC00853,0.0147545235
PDZK1IP1,0.006557565
TAL1,0.4065684
AL135960.1,0.008196957
STIL,0.031148441
CMPK1,1.1098659
LINC01389,0.0
FOXE3,0.0
FOXD2-AS1,0.0016393913
FOXD2,0.0032787826
LINC01738,0.0
TRABD2B,0.050821137
AL691459.1,0.0
AC096541.1,0.0
AL356289.1,0.0
AL356289.2,0.0
AL109659.1,0.0
SLC5A9,0.0
AL109659.2,0.0
SPATA6,0.10983915
AGBL4,0.0
BEND5,0.06393627
AC099788.1,0.0
AL590432.1,0.0
ELAVL4,0.009836349
AL592182.2,0.0
AL592182.1,0.0
AL596275.2,0.0
DMRTA2,0.0
FAF1,0.29345062
AL049637.1,0.0
CDKN2C,0.21803883
C1orf185,0.0
LINC01562,0.0
RNF11,0.30492634
AL162430.2,0.0
TTC39A,0.008196957
TTC39A-AS1,0.0
EPS15,0.5278831
AC104170.2,0.0
AC104170.1,0.0
OSBPL9,0.5098498
NRDC,0.55083466
AL050343.1,0.009836349
AL050343.2,0.0016393913
RAB3B,0.004918174
TXNDC12,0.6491979
KTI12,0.08524832
AL445685.1,0.0
TXNDC12-AS1,0.0
BTF3L4,0.8114974
ZFYVE9,0.054099917
CC2D1B,0.08852708
AL513218.1,0.0016393913
ORC1,0.011475739
PRPF38A,0.50165296
TUT4,0.94428784
AL591167.1,0.0016393913
GPX7,0.303287
SHISAL2A,0.016393915
COA7,0.057378702
ZYG11B,0.20164491
ZYG11A,0.0
AC099677.4,0.0
ECHDC2,0.3114839
SCP2,1.3361015
PODN,0.0
AL445183.1,0.0
SLC1A7,0.0
AL445183.2,0.0
CPT2,0.11475732
AL606760.2,0.0016393913
C1orf123,0.42624107
AL606760.3,0.004918174
MAGOH,0.8852697
AL606760.1,0.0016393913
LRP8,0.027869655
AL355483.4,0.0
AL355483.2,0.0
AL355483.3,0.0
LINC01771,0.006557565
AC119428.1,0.0
AC119428.2,0.004918174
DMRTB1,0.0
GLIS1,0.0016393913
NDC1,0.049181744
YIPF1,0.098363414
DIO1,0.0
HSPB11,0.7459218
LRRC42,0.09344525
LDLRAD1,0.0
TMEM59,2.2131793
TCEANC2,0.06885444
AL357673.1,0.0
CDCP2,0.0
AL357673.2,0.0
CYB5RL,0.031148441
MRPL37,0.30164763
SSBP3,0.44263497
SSBP3-AS1,0.02295148
AL161644.1,0.0016393913
AL035415.1,0.0
AC099796.1,0.0016393913
ACOT11,0.14918447
FAM151A,0.0
MROH7,0.013115132
MROH7-TTC4,0.0
TTC4,0.06393627
PARS2,0.018033307
TTC22,0.0016393913
AC096536.2,0.0
LEXM,0.0016393913
DHCR24,0.02131209
AC096536.3,0.0
AC096536.1,0.0
TMEM61,0.0
AL590440.1,0.0
BSND,0.0
PCSK9,0.0
USP24,0.15574203
MIR4422HG,0.0016393913
AL603840.1,0.0
LINC01753,0.0
LINC01755,0.0
AL353681.1,0.0
AC119674.1,0.0
AC119674.2,0.0032787826
LINC01767,0.0
PLPP3,0.009836349
PRKAA2,0.0032787826
FYB2,0.0
AL360295.1,0.0
C8A,0.0
C8B,0.0
AL161740.1,0.0
DAB1,0.0
AL390243.1,0.0
DAB1-AS1,0.0016393913
AL445193.2,0.0
OMA1,0.21475995
TACSTD2,0.28853285
MYSM1,0.27541733
AL136985.3,0.0
JUN,18.130049
LINC01135,0.0032787826
AL136985.2,0.0
AL136985.1,0.0
AC105277.1,0.031148441
LINC01358,0.027869655
AL592431.2,0.0
AL592431.1,0.0
AC093424.1,0.0032787826
FGGY,0.09016649
AL035416.1,0.0
HOOK1,0.03278783
CYP2J2,0.0032787826
C1orf87,0.0
AC097066.1,0.0
LINC01748,0.02131209
AC099792.1,0.02295148
NFIA,0.5016529
NFIA-AS2,0.0147545235
AC099791.3,0.0
TM2D1,0.53935885
AC099791.2,0.004918174
PATJ,0.057378702
L1TD1,0.004918174
KANK4,0.0
USP1,0.41312617
DOCK7,0.1868904
