,Fibroblast
CYB5RL,0.01863958
MRPL37,0.27976298
SSBP3,0.2418522
SSBP3-AS1,0.00066073675
AL161644.1,8.157245e-06
AL035415.1,0.0
AC099796.1,8.157245e-06
ACOT11,0.025988692
FAM151A,9.788694e-05
MROH7,0.0021779907
MROH7-TTC4,2.4471736e-05
TTC4,0.082315736
PARS2,0.018419331
TTC22,0.005122725
AC096536.2,1.631449e-05
LEXM,6.525796e-05
DHCR24,0.1357421
AC096536.3,0.00022024557
AC096536.1,0.0018516995
TMEM61,0.002944768
AL590440.1,0.0
BSND,6.525796e-05
PCSK9,0.0011991169
USP24,0.096972674
MIR4422HG,4.894347e-05
AL603840.1,0.00036707596
LINC01753,0.0
LINC01755,1.631449e-05
AL353681.1,1.631449e-05
AC119674.1,0.0034994537
AC119674.2,0.0048861667
LINC01767,0.00021208831
PLPP3,0.25564924
PRKAA2,0.024838721
FYB2,0.00239008
AL360295.1,8.157245e-06
C8A,0.0003426042
C8B,0.00022024557
AL161740.1,2.4471736e-05
DAB1,0.08447965
AL390243.1,0.00010604419
DAB1-AS1,0.00010604419
AL445193.2,1.631449e-05
OMA1,0.09220951
TACSTD2,0.059872087
MYSM1,0.2573568
AL136985.3,0.00017945937
JUN,9.439755
LINC01135,0.0006525794
