,Dendritic.cell
AL050343.2,0.0010581003
RAB3B,0.0026452506
TXNDC12,0.61871654
KTI12,0.1685028
AL445685.1,0.00026452506
TXNDC12-AS1,0.00026452506
BTF3L4,0.5189923
ZFYVE9,0.0005290501
CC2D1B,0.10395834
AL513218.1,0.0
ORC1,0.0063486015
PRPF38A,0.45153996
TUT4,1.5263108
AL591167.1,0.0005290501
GPX7,0.63379556
SHISAL2A,0.012168155
COA7,0.035181865
ZYG11B,0.08835128
ZYG11A,0.00026452506
AC099677.4,0.0
ECHDC2,0.082796186
SCP2,1.0083557
PODN,0.0005290501
AL445183.1,0.0
SLC1A7,0.00026452506
AL445183.2,0.0
CPT2,0.11427483
AL606760.2,0.0055550267
C1orf123,0.27219468
AL606760.3,0.0034388262
MAGOH,0.7237309
AL606760.1,0.0039678765
LRP8,0.33065414
AL355483.4,0.0015871504
AL355483.2,0.0018516753
AL355483.3,0.00026452506
LINC01771,0.004232402
AC119428.1,0.0021162003
AC119428.2,1.7027555
DMRTB1,0.0
GLIS1,0.0
NDC1,0.081738055
YIPF1,0.19574824
DIO1,0.0005290501
HSPB11,0.6956928
LRRC42,0.09708064
LDLRAD1,0.0
TMEM59,2.65218
TCEANC2,0.199187
AL357673.1,0.0018516753
CDCP2,0.0
AL357673.2,0.0
CYB5RL,0.0251299
MRPL37,0.24733
SSBP3,0.055021156
SSBP3-AS1,0.0005290501
AL161644.1,0.0
AL035415.1,0.0
AC099796.1,0.0
ACOT11,0.0060840766
FAM151A,0.0
MROH7,0.0
MROH7-TTC4,0.0
TTC4,0.0748604
PARS2,0.015077934
TTC22,0.0029097756
AC096536.2,0.0
LEXM,0.0
DHCR24,0.042059515
AC096536.3,0.0
AC096536.1,0.0
TMEM61,0.00026452506
AL590440.1,0.0
BSND,0.0
PCSK9,0.0
USP24,0.6552211
MIR4422HG,0.015606984
AL603840.1,0.00026452506
LINC01753,0.0
LINC01755,0.0
AL353681.1,0.0
AC119674.1,0.0
AC119674.2,0.0
LINC01767,0.0
PLPP3,0.008993852
PRKAA2,0.00026452506
FYB2,0.0
AL360295.1,0.0
C8A,0.0
C8B,0.0
AL161740.1,0.0
DAB1,0.00079357525
AL390243.1,0.0
DAB1-AS1,0.0
AL445193.2,0.0
OMA1,0.113216795
TACSTD2,0.07538965
MYSM1,0.28621432
AL136985.3,0.00026452506
JUN,0.50471234
LINC01135,0.0
AL136985.2,0.0
AL136985.1,0.0
AC105277.1,0.0013226253
LINC01358,0.0026452506
AL592431.2,0.0
AL592431.1,0.0
AC093424.1,0.0
FGGY,0.03571092
AL035416.1,0.0
HOOK1,0.005819551
CYP2J2,0.007935751
C1orf87,0.0
AC097066.1,0.0
LINC01748,0.0
AC099792.1,0.0
NFIA,0.02036844
NFIA-AS2,0.0
AC099791.3,0.008464801
TM2D1,0.6097231
AC099791.2,0.0029097756
PATJ,0.021162018
L1TD1,0.0097874245
KANK4,0.0
USP1,0.47085017
DOCK7,0.1036938
ANGPTL3,0.0
AC103923.1,0.00026452506
ATG4C,0.3515507
AC099794.1,0.0005290501
LINC01739,0.0
AL162400.2,0.0
AC096543.1,0.0
AC096543.2,0.0
FOXD3-AS1,0.0
FOXD3,0.0
ALG6,0.112158634
ITGB3BP,0.2277553
EFCAB7,0.043646656
PGM1,0.16003813
ROR1,0.03438829
ROR1-AS1,0.0015871504
AL445205.1,0.0
UBE2U,0.0
CACHD1,0.00026452506
RAVER2,0.03385924
JAK1,2.1159625
AL357078.3,0.00079357525
AL357078.1,0.0005290501
AK4,0.016929613
DNAJC6,0.017458664
AL139294.1,0.0
LEPROT,0.9297925
LEPR,0.040207848
AL513493.1,0.16003798
PDE4B,1.0236995
AL590783.1,0.0005290501
SGIP1,0.0
AL139147.1,0.00079357525
TCTEX1D1,0.0021162005
INSL5,0.0
WDR78,0.009258377
AL592161.1,0.0
MIER1,0.8189589
