,Plasma.cell
OSCP1,0.0041265707
MRPS15,0.3454349
CSF3R,0.016188892
AL596257.1,0.0
AC117945.2,0.0
AC117945.1,0.0
GRIK3,0.000115428375
AL031430.1,0.0
AL353604.1,0.0
LINC01137,0.0069256998
ZC3H12A,0.06590882
MEAF6,0.1717509
SNIP1,0.07661409
DNALI1,0.0018468535
GNL2,0.103075005
RSPO1,0.00017314257
C1orf109,0.046257887
CDCA8,0.022999166
EPHA10,0.00034628515
MANEAL,0.009609401
AL929472.3,0.0
YRDC,0.06916941
C1orf122,0.2580298
MTF1,0.040544413
AL929472.2,0.00043285635
INPP5B,0.04917222
SF3A3,0.14341573
FHL3,0.021498658
UTP11,0.11833973
POU3F1,0.012783715
AL139158.2,8.657129e-05
AL139158.3,0.0
LINC01685,0.0018179963
AL354702.2,0.00092342676
RRAGC,0.07046777
AL139260.1,0.0014717113
MYCBP,0.08382801
AL139260.3,0.00023085675
GJA9,0.0
RHBDL2,0.0011831404
AKIRIN1,0.20441593
NDUFS5,0.98957884
MACF1,0.32881445
AL442071.1,0.0
BMP8A,0.0021354242
PABPC4,0.5422603
AL365277.1,0.000115428375
HEYL,0.00046171344
AL035404.2,0.0
NT5C1A,2.8857094e-05
HPCAL4,0.0007791413
PPIE,0.11170259
BMP8B,0.025625281
OXCT2,0.0055694226
AL033527.3,0.0008945697
AL033527.5,0.0040399986
AL033527.4,0.00023085675
TRIT1,0.019132353
MYCL,0.004501713
AL033527.2,2.8857094e-05
MFSD2A,0.025798425
CAP1,0.50948083
PPT1,0.123158425
RLF,0.108066715
TMCO2,0.00017314257
AL050341.2,0.011254277
ZMPSTE24,0.11008683
COL9A2,0.017747203
SMAP2,0.86270666
AL031985.4,0.00025971385
ZFP69B,0.020892665
ZFP69,0.0049057133
AL603839.3,0.001038855
EXO5,0.00911883
AL603839.1,0.0
AL603839.2,0.0
ZNF684,0.014226589
RIMS3,0.0025971385
AL031289.1,0.0
NFYC-AS1,0.008310835
NFYC,0.11202007
KCNQ4,0.0005482847
CITED4,0.012754861
AC119677.1,0.0
CTPS1,0.03788962
SLFNL1-AS1,0.0021642812
SLFNL1,0.00046171344
SCMH1,0.02781846
AC093151.3,0.00043285635
FOXO6,0.00028857094
AC093151.2,0.0
EDN2,0.000115428375
HIVEP3,0.025221247
AL445933.2,0.0
GUCA2B,0.0
GUCA2A,2.8857094e-05
FOXJ3,0.06758215
RIMKLA,0.0008657125
ZMYND12,0.0017602821
PPCS,0.23754175
CCDC30,0.01229315
PPIH,0.08351086
AC098484.2,0.00031742803
YBX1,2.2180843
CLDN19,2.8857094e-05
P3H1,0.033185933
C1orf50,0.016794914
AC098484.3,0.00017314257
AC098484.1,2.8857094e-05
TMEM269,0.0008368555
SVBP,0.07473852
ERMAP,0.007993407
AL512353.1,0.0017314249
ZNF691,0.01385145
SLC2A1,0.03255106
SLC2A1-AS1,0.0025682813
AC099795.1,0.0
FAM183A,0.00014428547
EBNA1BP2,0.19801144
CFAP57,0.0017602821
TMEM125,0.010071118
C1orf210,0.0008079984
TIE1,0.0015582824
MPL,2.8857094e-05
AL139289.2,0.004386286
CDC20,0.046575345
ELOVL1,0.06856332
MED8,0.2283663
AL139289.1,0.00023085675
SZT2,0.07447876
SZT2-AS1,0.00023085675
HYI,0.17841695
PTPRF,0.011283124
AL451062.3,0.00057714176
KDM4A,0.02963647
KDM4A-AS1,0.0043862863
ST3GAL3,0.016044619
AL451062.1,0.0
ARTN,0.0014428542
AL357079.1,0.0021642812
IPO13,0.022335554
DPH2,0.031743057
ATP6V0B,1.220815
B4GALT2,0.05049964
CCDC24,0.0041265707
SLC6A9,0.017718349
AL139220.2,0.0025971385
KLF17,0.0
DMAP1,0.08463591
ERI3,0.07398818
RNF220,0.07511352
TMEM53,0.011917998
ARMH1,0.013707151
KIF2C,0.02389375
AL592166.1,0.00092342676
RPS8,12.499362
BEST4,0.0010677121
PLK3,0.07846141
TCTEX1D4,0.00060599885
BTBD19,0.0037225697
PTCH2,0.10376817
EIF2B3,0.10731672
HECTD3,0.031858508
UROD,0.096120395
ZSWIM5,0.0003751422
LINC01144,0.00043285635
HPDL,0.0048479983
MUTYH,0.029376764
TOE1,0.035985082
TESK2,0.044613045
CCDC163,0.030444479
MMACHC,0.011485132
PRDX1,1.9991436
AKR1A1,0.8275377
NASP,0.37625435
CCDC17,0.002943425
GPBP1L1,0.12812124
TMEM69,0.03560998
IPP,0.03924589
MAST2,0.018930355
PIK3R3,0.035609897
AL358075.4,0.0
AL358075.1,0.000115428375
AL358075.2,0.0012697118
TSPAN1,0.014168878
POMGNT1,0.06429257
LURAP1,0.0011831404
RAD54L,0.005915707
LRRC41,0.10763386
UQCRH,1.8817141
NSUN4,0.038322542
FAAH,0.010215405
DMBX1,8.657129e-05
AL136373.1,5.7714187e-05
MKNK1-AS1,0.00028857094
KNCN,0.0
MKNK1,0.07421902
MOB3C,0.034946267
ATPAF1,0.11649272
TEX38,0.00017314257
EFCAB14-AS1,5.7714187e-05
EFCAB14,0.13963486
CYP4B1,0.0012119977
CYP4A11,0.0
CYP4X1,0.0004039993
CYP4Z1,2.8857094e-05
CYP4A22-AS1,5.7714187e-05
CYP4A22,0.0
LINC00853,8.657129e-05
PDZK1IP1,0.0056848545
TAL1,0.00017314257
AL135960.1,0.0
STIL,0.015986871
CMPK1,0.2987159
LINC01389,0.00043285635
FOXE3,0.00020199966
FOXD2-AS1,0.0017891392
FOXD2,0.0008945697
LINC01738,0.0
TRABD2B,0.0
AL691459.1,0.0
AC096541.1,0.0
AL356289.1,0.0
AL356289.2,0.0
AL109659.1,0.0
SLC5A9,0.00014428547
AL109659.2,0.0
SPATA6,0.0038091405
AGBL4,0.00020199966
BEND5,0.020950373
AC099788.1,0.0
AL590432.1,0.0
ELAVL4,0.0006925701
AL592182.2,0.0
AL592182.1,0.0
AL596275.2,0.0
DMRTA2,0.00028857094
FAF1,0.12702501
AL049637.1,0.00014428547
CDKN2C,0.23826426
C1orf185,0.0
LINC01562,0.0049345708
RNF11,0.0738727
AL162430.2,8.657129e-05
TTC39A,0.0019045675
TTC39A-AS1,0.0016737109
EPS15,0.24706472
AC104170.2,0.0010965691
AC104170.1,0.001038855
OSBPL9,0.20998491
NRDC,0.6138247
AL050343.1,0.004992285
AL050343.2,0.0008079984
RAB3B,0.01647747
TXNDC12,0.2876647
KTI12,0.041958343
AL445685.1,5.7714187e-05
TXNDC12-AS1,5.7714187e-05
BTF3L4,0.18892
ZFYVE9,0.0060599917
CC2D1B,0.031973947
AL513218.1,2.8857094e-05
ORC1,0.008801406
PRPF38A,0.14122258
TUT4,0.41133898
AL591167.1,8.657129e-05
GPX7,0.12315871
SHISAL2A,0.037485704
COA7,0.023028111
