,Endothelial.cell
AKIRIN1,0.49000522
NDUFS5,2.9900253
MACF1,4.3134284
AL442071.1,0.0003957331
BMP8A,0.0004946664
PABPC4,0.6713584
AL365277.1,9.893328e-05
HEYL,0.014543193
AL035404.2,0.0
NT5C1A,0.0
HPCAL4,0.00019786655
PPIE,0.31717584
BMP8B,0.0011871994
OXCT2,0.010981595
AL033527.3,0.0
AL033527.5,0.00019786655
AL033527.4,0.0
TRIT1,0.106552415
MYCL,0.011970927
AL033527.2,0.0
MFSD2A,0.203013
CAP1,1.7924981
PPT1,0.6095221
RLF,0.27176917
TMCO2,0.0
AL050341.2,0.07044117
ZMPSTE24,0.5083078
COL9A2,0.009002929
SMAP2,0.20548716
AL031985.4,9.893328e-05
ZFP69B,0.031164024
ZFP69,0.020874923
AL603839.3,0.009497595
EXO5,0.054215834
AL603839.1,9.893328e-05
AL603839.2,0.00029679984
ZNF684,0.060349792
RIMS3,0.0024733322
AL031289.1,0.0
NFYC-AS1,0.011674128
NFYC,0.3183633
KCNQ4,0.0018797325
CITED4,0.7618841
AC119677.1,0.0
CTPS1,0.14444444
SLFNL1-AS1,0.0047487975
SLFNL1,0.0005935997
SCMH1,0.09062387
AC093151.3,0.0005935997
FOXO6,0.0031658649
AC093151.2,0.0007914662
EDN2,0.0026711987
HIVEP3,0.08834831
AL445933.2,0.0
GUCA2B,0.0
GUCA2A,0.0003957331
FOXJ3,0.35160232
RIMKLA,0.008607196
ZMYND12,0.0066285296
PPCS,0.6182301
CCDC30,0.044322357
PPIH,0.1980672
AC098484.2,0.0010882661
YBX1,6.9819
CLDN19,0.00029679984
P3H1,0.51790655
C1orf50,0.050654188
AC098484.3,0.0003957331
AC098484.1,0.0
TMEM269,0.0009893328
SVBP,0.39572412
ERMAP,0.047884017
AL512353.1,0.0051445304
ZNF691,0.044223428
SLC2A1,0.1330668
SLC2A1-AS1,0.0054413304
AC099795.1,0.0
FAM183A,0.0023743988
EBNA1BP2,0.54897046
CFAP57,0.0043530646
TMEM125,0.007914662
C1orf210,0.0023743988
TIE1,2.1920328
MPL,0.00019786655
AL139289.2,0.0036605317
CDC20,0.06608767
ELOVL1,0.848163
MED8,0.33092737
AL139289.1,0.000692533
SZT2,0.19875976
SZT2-AS1,0.0003957331
HYI,0.27305645
PTPRF,0.11951256
AL451062.3,0.0025722652
KDM4A,0.104276925
KDM4A-AS1,0.012663459
ST3GAL3,0.095372796
AL451062.1,0.00019786655
ARTN,0.0031658649
AL357079.1,0.0036605317
IPO13,0.085677154
DPH2,0.11050982
ATP6V0B,1.7542088
B4GALT2,0.20103523
CCDC24,0.021171723
SLC6A9,0.0064306636
AL139220.2,0.004550931
KLF17,0.00019786655
DMAP1,0.27275825
ERI3,0.36109886
RNF220,0.25960153
TMEM53,0.064801864
ARMH1,0.0043530646
KIF2C,0.034626693
AL592166.1,0.0003957331
RPS8,25.982117
BEST4,0.002770132
PLK3,0.42401817
TCTEX1D4,0.005837064
BTBD19,0.09942911
PTCH2,0.011871994
EIF2B3,0.17719194
HECTD3,0.12050222
UROD,0.3919638
ZSWIM5,0.014642127
LINC01144,0.001385066
HPDL,0.009002929
MUTYH,0.076773025
TOE1,0.12594365
TESK2,0.048279766
CCDC163,0.0139495935
MMACHC,0.032351244
PRDX1,5.2792645
AKR1A1,0.87121284
NASP,2.0688407
CCDC17,0.012564527
GPBP1L1,0.5445211
TMEM69,0.12149161
IPP,0.103386484
MAST2,0.08923878
PIK3R3,1.6007777
AL358075.4,0.0
AL358075.1,0.0053423974
AL358075.2,0.0014839992
TSPAN1,0.053028584
POMGNT1,0.29086214
LURAP1,0.025326919
RAD54L,0.010387995
LRRC41,0.44043747
UQCRH,2.6816463
NSUN4,0.16502295
FAAH,0.011377327
DMBX1,0.0003957331
AL136373.1,9.893328e-05
MKNK1-AS1,0.00019786655
KNCN,0.0
MKNK1,0.20469588
MOB3C,0.10684915
ATPAF1,0.14464234
TEX38,0.0012861326
EFCAB14-AS1,0.000692533
EFCAB14,1.598029
CYP4B1,0.038979825
CYP4A11,9.893328e-05
CYP4X1,0.009200796
CYP4Z1,0.0003957331
CYP4A22-AS1,0.0008903995
CYP4A22,9.893328e-05
LINC00853,0.0034626648
PDZK1IP1,0.023447188
TAL1,0.22181162
AL135960.1,0.0065295966
STIL,0.03719902
CMPK1,0.8628042
LINC01389,0.00019786655
FOXE3,0.00029679984
FOXD2-AS1,0.002770132
FOXD2,0.0007914662
LINC01738,0.0
TRABD2B,0.038781997
AL691459.1,0.0
AC096541.1,9.893328e-05
AL356289.1,0.0
AL356289.2,0.0
AL109659.1,0.0
SLC5A9,0.0016818658
AL109659.2,0.0021765323
SPATA6,0.17471857
AGBL4,0.0009893328
BEND5,0.07073798
AC099788.1,0.0
AL590432.1,0.0
ELAVL4,0.00019786655
AL592182.2,0.0
AL592182.1,0.0
AL596275.2,0.0
DMRTA2,0.00019786655
FAF1,0.24753268
AL049637.1,9.893328e-05
CDKN2C,0.107640475
C1orf185,0.0
LINC01562,0.0022754655
RNF11,0.63564205
AL162430.2,0.000692533
TTC39A,0.03640754
TTC39A-AS1,0.003957331
EPS15,0.53611183
AC104170.2,0.0022754655
AC104170.1,0.0004946664
OSBPL9,0.52255607
NRDC,0.71795774
AL050343.1,0.009002929
AL050343.2,0.0023743988
RAB3B,0.0073210634
TXNDC12,0.80423486
KTI12,0.10447477
AL445685.1,0.0003957331
TXNDC12-AS1,0.0
BTF3L4,0.58577704
ZFYVE9,0.16759527
CC2D1B,0.096658945
AL513218.1,0.0016818658
ORC1,0.009893329
PRPF38A,0.52750266
TUT4,0.7347764
AL591167.1,0.00029679984
GPX7,0.34012744
SHISAL2A,0.0061338637
COA7,0.1008142
ZYG11B,0.4345022
ZYG11A,0.0009893328
AC099677.4,0.0
ECHDC2,0.1630442
SCP2,1.5958261
PODN,0.03977131
AL445183.1,0.0
SLC1A7,0.003759465
AL445183.2,0.00019786655
CPT2,0.12079906
AL606760.2,0.003561598
C1orf123,0.5272049
AL606760.3,0.0031658649
MAGOH,0.76435816
AL606760.1,0.0052434644
LRP8,0.0652965
AL355483.4,0.0
AL355483.2,0.00019786655
AL355483.3,0.0
LINC01771,0.00019786655
AC119428.1,0.0
AC119428.2,0.000692533
DMRTB1,0.0
GLIS1,0.0003957331
NDC1,0.09052493
YIPF1,0.17076115
DIO1,0.0004946664
HSPB11,0.37148675
LRRC42,0.11298316
LDLRAD1,0.0029679984
TMEM59,2.8869352
TCEANC2,0.13484778
AL357673.1,0.003759465
CDCP2,0.0003957331
AL357673.2,0.0009893328
CYB5RL,0.060151897
MRPL37,0.2844321
SSBP3,0.418674
SSBP3-AS1,0.0007914662
AL161644.1,9.893328e-05
AL035415.1,0.0
AC099796.1,0.0
ACOT11,0.01681866
FAM151A,9.893328e-05
MROH7,0.0014839992
MROH7-TTC4,0.0
TTC4,0.06866036
PARS2,0.0139495935
TTC22,0.0028690654
AC096536.2,0.0
LEXM,0.0
DHCR24,0.06648365
AC096536.3,0.00019786655
AC096536.1,0.00029679984
TMEM61,0.0010882661
AL590440.1,0.0
BSND,9.893328e-05
PCSK9,0.0005935997
USP24,0.21933822
MIR4422HG,0.0004946664
AL603840.1,0.001385066
LINC01753,0.0
LINC01755,0.0
AL353681.1,0.0
AC119674.1,0.037693717
AC119674.2,0.042541523
LINC01767,0.0012861326
PLPP3,1.8448579
PRKAA2,0.015136793
FYB2,0.00029679984
AL360295.1,0.0
C8A,0.0
C8B,0.0
AL161740.1,0.0
DAB1,0.0019786656
AL390243.1,0.0
DAB1-AS1,0.0
AL445193.2,0.0
OMA1,0.06282318
TACSTD2,0.10219904
MYSM1,0.40155956
AL136985.3,0.0074199964
JUN,3.9315848
LINC01135,9.893328e-05
AL136985.2,0.0
AL136985.1,0.0
AC105277.1,0.0023743988
LINC01358,0.0060349307
AL592431.2,0.0
AL592431.1,0.0
AC093424.1,0.0012861326
FGGY,0.055007327
AL035416.1,9.893328e-05
HOOK1,0.009299729
CYP2J2,0.0009893328
C1orf87,9.893328e-05
AC097066.1,0.0
LINC01748,0.009893329
AC099792.1,0.009299729
NFIA,1.5078756
NFIA-AS2,0.03383522
AC099791.3,0.0
TM2D1,0.5995277
AC099791.2,0.016126126
PATJ,0.052237134
L1TD1,0.0052434644
KANK4,0.002077599
USP1,0.4070019
DOCK7,0.08666644
ANGPTL3,0.00019786655
AC103923.1,0.00019786655
ATG4C,0.14286155
AC099794.1,9.893328e-05
LINC01739,0.0
AL162400.2,0.0
AC096543.1,9.893328e-05
AC096543.2,9.893328e-05
FOXD3-AS1,0.001385066
FOXD3,0.0004946664
ALG6,0.13761796
ITGB3BP,0.2481262
EFCAB7,0.057480678
