GeneID,Macrophage
AQP8,0.15314323
AQP9,28.2659
AQPEP,0.24383302
AQR,19.386396
AR,0.08838196
ARAF,36.217915
ARAP1,96.31372
ARAP2,5.2199316
ARAP3,0.70512265
ARC,0.43299732
ARCN1,54.122555
AREG,354.0716
ARF1,513.0802
ARF3,26.155605
ARF4,198.19698
ARF5,145.11385
ARF6,44.485073
ARFGAP1,24.024048
ARFGAP2,49.580307
ARFGAP3,73.64947
ARFGEF1,9.744637
ARFGEF2,7.2801847
ARFIP1,44.03503
ARFIP2,12.170205
ARFRP1,23.511751
ARG1,0.3589024
ARG2,79.62859
ARGFX,3.715765
ARGFXP2,0.87477225
ARGLU1,147.66246
ARHGAP1,26.819826
ARHGAP10,1.6821209
ARHGAP11A,4.042171
ARHGAP11B,7.433738
ARHGAP12,39.293488
ARHGAP15,129.08902
ARHGAP17,16.103
ARHGAP18,105.34792
ARHGAP19,6.787535
ARHGAP19-SLIT1,7.917818
ARHGAP20,5.0521812
ARHGAP21,22.639221
ARHGAP22,27.267666
ARHGAP23,0.0981565
ARHGAP24,65.38887
ARHGAP25,53.12729
ARHGAP26,18.114695
ARHGAP26-AS1,2.7794192
ARHGAP27,82.511765
ARHGAP28,0.0010344827
ARHGAP29,0.27374986
ARHGAP30,73.48868
ARHGAP31,14.103628
ARHGAP32,2.7906163
ARHGAP33,4.411396
ARHGAP35,4.673214
ARHGAP36,0.0
ARHGAP39,0.1384219
ARHGAP4,117.075745
ARHGAP40,0.002679045
ARHGAP42,0.081564985
ARHGAP44,0.13751858
ARHGAP5,10.504078
ARHGAP5-AS1,3.1988943
ARHGAP6,6.1998262
ARHGAP8,2.4563253
ARHGAP9,88.69864
ARHGDIA,22.428322
ARHGDIB,1150.604
ARHGDIG,0.0
ARHGEF1,50.217503
ARHGEF10,1.378815
ARHGEF10L,21.322887
ARHGEF11,5.1286745
ARHGEF12,2.472319
ARHGEF15,0.41469684
ARHGEF16,0.0
ARHGEF17,0.5582978
ARHGEF18,5.894484
ARHGEF19,2.7917075
ARHGEF2,25.586767
ARHGEF25,0.014814324
ARHGEF26,3.0478177
ARHGEF26-AS1,39.91164
ARHGEF28,0.0021087532
ARHGEF3,21.681986
ARHGEF3-AS1,0.0
ARHGEF33,0.1559549
ARHGEF35,0.04603448
ARHGEF37,1.240373
ARHGEF38,0.013116729
ARHGEF38-IT1,0.0
ARHGEF39,4.3439445
ARHGEF4,0.06689654
ARHGEF40,23.557821
ARHGEF5,0.13187104
ARHGEF6,75.82328
ARHGEF7,29.994246
ARHGEF9,4.7691126
ARID1A,13.834023
ARID1B,5.2333064
ARID2,15.426319
ARID3A,1.8692166
ARID3B,12.250143
ARID3C,0.0
ARID4A,26.8119
ARID4B,37.136887
ARID5A,119.906494
ARID5B,52.13439
ARIH1,20.001753
ARIH2,52.400505
ARIH2OS,7.8260965
ARL1,52.118362
ARL10,0.6048787
ARL11,26.996674
ARL13A,0.35072005
ARL13B,7.472942
ARL14,0.25825307
ARL14EP,22.65627
ARL14EPL,0.0
ARL15,22.414038
ARL16,43.833206
ARL17A,28.232677
ARL17B,15.893778
ARL2,59.939995
ARL2-SNX15,0.04641902
ARL2BP,67.51279
ARL3,9.268358
ARL4A,56.336933
ARL4C,40.94036
ARL4D,2.993556
ARL5A,114.81405
ARL5B,25.816805
ARL5C,2.1943636
ARL6,3.1019735
ARL6IP1,463.86334
ARL6IP4,117.36299
ARL6IP5,374.4125
ARL6IP6,41.172516
ARL8A,2.7906387
ARL8B,141.62012
ARL9,0.10515915
ARMC1,28.183395
ARMC10,10.617095
ARMC12,1.4748275
ARMC2,2.0342388
ARMC3,0.008355408
ARMC4,0.18612814
ARMC5,6.2152157
ARMC6,12.84683
ARMC7,11.616569
ARMC8,52.703636
ARMC9,3.888741
ARMCX1,22.376049
ARMCX2,35.540802
ARMCX3,56.515934
ARMCX4,4.2369523
ARMCX5,15.289812
ARMCX5-GPRASP2,0.75867695
ARMCX6,75.98177
ARMS2,0.1938992
ARNT,38.182606
ARNT2,0.17740053
ARNTL,20.02877
ARNTL2,1.0899323
ARPC1A,81.414505
ARPC1B,543.9496
ARPC2,804.4714
ARPC3,1108.5692
ARPC4,270.45026
ARPC4-TTLL3,5.6983194
ARPC5,440.80917
ARPC5L,41.745598
ARPP19,73.50934
ARPP21,0.06252105
ARR3,0.30533037
ARRB1,9.497496
ARRB2,52.606674
ARRDC1,64.58265
ARRDC2,46.2816
ARRDC3,140.62733
ARRDC3-AS1,13.579782
ARRDC4,5.918139
ARRDC5,6.235654
ARSA,29.271904
ARSB,20.183134
ARSD,12.03641
ARSE,0.0657427
ARSF,0.068328924
ARSG,8.47645
ARSH,0.0
ARSI,0.0
ARSJ,0.5187533
ARSK,8.047163
ART1,0.008222811
ART3,0.019151192
ART4,0.03433687
ART5,0.0
ARTN,0.0
ARV1,35.897457
ARVCF,0.09357867
ARX,0.0
AS3MT,4.210471
ASAH1,933.3266
ASAH2,0.1302662
ASAH2B,2.3367782
ASAP1,12.685845
ASAP1-IT1,3.8219433
ASAP2,0.121710844
ASAP3,0.06777189
ASB1,4.2777386
ASB10,0.10114057
ASB11,2.1208086
ASB12,0.0
ASB13,9.725357
ASB14,1.5255271
ASB15,1.2911797
ASB16,1.5940086
ASB16-AS1,19.369543
ASB17,0.0
ASB18,0.0
ASB2,5.2487755
ASB3,14.8467245
ASB4,0.42733333
ASB5,0.23988062
ASB6,11.371141
ASB7,9.512367
ASB8,33.214565
ASB9,2.8792713
ASB9P1,1.5112553
