,0,1,2,3,4,5
MCOLN2,0.6097478185500986,2.5587079849303973,0.3933975701524337,11.295831651083814,1.2500886837339318,3.0901520846381506e-08
ANO5,9.61075750155417,4.7638003758978525e-11,5.256084322642071,1.976190760553537e-08,6.899714834497371e-11,7.46626329333563e-05
HLA-DQB2,15.053811990963421,0.7368959407417226,8.279134736476693e-11,4.210278883841496,0.0010754920422255437,7.2194456499431e-11
ULK4P1,0.5633271922603083,2.0874538826130142,1.203832619344544,11.532143805396359,12.80907524737293,7.507769725424394e-11
ULK4P2,0.5630734907875585,2.085621432297943,1.2081787918858822,11.531532024264187,12.806774065701019,7.50266902793661e-11
GRIP2,2.385273668542835,0.17016601960058161,3.000633910187022,1.3226182127751678,10.279423009516014,4.5017355187157725e-11
ZNF804A,15.498682323300464,5.883230556459277e-11,3.2894713518549836,7.353709226606244e-11,9.124436192404098e-11,0.0003730275700318817
KIAA1199,6.736958477104257e-11,7.899965902544975,7.860503993682936e-11,1.4886853579056506e-05,19.42057740469223,7.414078535371025e-11
ZNF728,2.8750735780844057,2.471485926991006e-11,4.293361954763162,4.945240040013484e-11,8.818772343845506e-11,3.105157891547577e-11
CXorf64,1.5191225944340563,4.914511917301246,0.2949535643707921,2.710915156589066,0.6724430366802213,1.99633869489537
PPP1R16B,0.44911043726300304,8.690634813743444e-11,3.1623231379094223,4.564309771970494,1.691363747658015,29.2402842073504
NPAS2,0.8302213471301045,7.179006361967668,0.7646646132656204,1.529454142277498,0.00024177717823246393,6.431457556339584e-11
GAL3ST1,0.0040694847282722706,0.00019831728038165438,3.8772230391958975,1.3220455610945314,5.6381745251597474e-11,26.486455662146803
HOXA4,4.4103398171728605,3.3802727662505903,2.1699476325441847,4.4301769165697024e-10,0.010076361439078876,4.26864188278159
LOC100499405,0.0002627546227664091,2.1243284485584307e-08,1.9557576175288631,17.871377124741066,10.945626850026468,3.658282625128479
MAGEL2,10.644190787317209,1.2079411434350855e-10,5.423678420333069,7.868241788295682e-11,9.956925529431404e-11,2.2845476117641376e-06
CD300LB,4.7810304472750245,8.759107939819296e-11,8.000402780475056e-11,18.971910297729558,9.458270497049378e-11,0.0003902969083660276
VWC2L,10.822194834692807,1.1373579251268338,2.260433019069265,2.1269090555233,2.342483247413255e-09,3.2178054379814354e-05
LOC151174,8.226145859661526e-11,0.00011760229916088327,3.4734607194738802,4.119434487711133,6.966843301602959,11.902347139466675
EMR1,1.5162431394328544,9.765530968076479e-11,7.373317763070779e-11,19.086299944218627,6.64175181791738e-11,6.668773456503353e-11
CLIC3,1.9776300724106174e-11,1.5072136750089702,1.0099511679705315,4.203715474969212,5.437218904847791,0.7100274988730617
CNTNAP2,0.0005999089469127369,7.48480547644129e-11,5.766183076264661,1.3584322866898737,5.3557494222876534e-11,20.66478385396355
GRTP1,7.120284151640382,1.8669342022567041,3.4217998560209444,5.670086391602367e-11,6.198605115583953,0.16852423893862367
GPR126,6.300112563540814e-11,7.439758301307651e-11,3.0446526000930905,13.495816449705844,3.5519814652698546e-11,2.6010651812505476
MIR3650,6.080055223006957,2.753203795296021,2.5349922713035395,0.8433422744999542,5.012296322995943e-11,7.06652855753694e-11
P2RX5,0.31182877528746233,4.802435031287425e-11,4.47208900759522,1.520961195467715,6.865695640699593e-11,4.127839782515417e-11
STOX1,2.4601372102278294,1.8570668251253837,2.253082358107901,8.783605185418751e-11,22.358717697246995,6.575874434552406
LOC100129518,4.955371972635971,4.692895308057532,2.2321563010847285,0.4364199326445981,1.4749107018552649e-05,4.439809195014901
IL4R,3.892213689123245,9.774464827859921e-11,0.040947464201451164,19.39123390501971,3.112151501275094,8.107175407343734e-11
C21orf37,10.500170601195862,7.854621996570302e-11,3.0009254204834144,1.2574852699812347,7.306884999781623e-11,6.293096757420886
LOC100287225,0.40563358181270476,2.14301206993704,2.651992957832798,0.0011272845905984392,7.542610080846249e-11,26.66092099341337
CD200R1,7.861831504073629e-11,0.15281554892434385,5.01425127712454e-06,16.497624228355534,6.519693471358279e-11,0.8762123821535123
UBD,0.00038494996629905427,5.072053396050953,0.7331591844950145,6.817602484057675e-11,5.608521485233935,2.5794677364661176
PLEKHA7,2.82519445401347,2.5088637456470884,0.8754027464032813,1.8307486065493308,24.823000927629344,6.0017489088223295
PPP1R3G,0.058633455460898244,7.06148521136167,0.9260925170502233,6.251175822068181,2.3851261357825098,8.658675671114646e-08
C10orf113,2.5440107990807195,4.568665303421103,1.2469140370598615,8.559298042592564e-11,4.211767000106436e-11,2.4186704803797094
WBSCR27,6.501406272891318e-11,3.1399023118096028,1.2618146480878334,10.416614367410194,1.1467927551405683,2.7622818109527936
RIMS2,1.4777741429246556,5.894420612224766e-11,5.64277500713959,1.4529124840250986,9.471011831664871e-11,0.597176957265243
RIMS1,3.37948781656057,4.3341668587766157e-11,7.41357729737408,8.515201197976804e-11,1.0714222953915717e-10,0.22619866101368155
BIK,6.713059623787875e-11,0.7286257213332085,1.0668307484818764,14.871863840025684,0.9141532168152489,8.107273762899176e-11
MECOM,1.7736718327070347,4.974369047013041,1.9803304436246292,1.9325397767591104e-11,4.856281827180392e-11,0.010622488516297351
PDE3A,4.319631705644044,3.99842524464996,0.9273434276010315,6.02932618598667e-11,6.024796563641574,5.566023009700769e-11
SLCO2A1,5.0466074168088735,2.5675683676063765,1.550340267311022,1.0917195925672182e-10,6.362942380342268e-11,5.1443011215390844e-11
MIR4712,9.696378272755284,1.8564751902037617,0.7696608808985396,1.7946911168079285,8.428048396743228e-11,24.235051293791276
HOXB4,10.577234497596123,2.209802307419688,6.519643353682023e-11,0.00015040485254233613,2.6050014864844903e-07,7.037175613357835
BCO2,2.668786495831047e-07,1.3011505647899368,1.5220217831901857,18.302201112950222,1.1997349641715376,9.775699965613537
CADPS2,8.025115045260234e-11,5.366745777525663,0.9704677259098073,1.1978878437190683e-07,6.897769152728148e-11,5.303696453395349
PLB1,7.82547345181151e-11,0.1511103564779507,0.584982684299862,19.007815295220297,8.360785936536607e-11,8.309017354740776e-11
C12orf61,10.708255488333021,3.5000086405761293,6.091018723364582e-05,0.0015203038353291754,8.191171231120143e-07,4.405634193571561
IQCA1,7.4539230544335435,1.272709964585511,2.6497144218468254,1.4276639936336009,3.1236905731678194e-11,9.623437707666959
LOC100505912,0.266321725909504,3.0659317412438614,2.4543676870526676,1.1651852836595369,1.384922943470581,12.504228490357164
HIST4H4,4.477975478552135,2.329838321487937,2.1848351725634028,9.075166478369974,8.98476870268801e-09,3.3483227161127163
AMER3,13.098819386627223,6.261873191242921e-11,0.7397723519111445,2.6302078899659853,4.7970228021048715e-11,4.968522206713043e-11
RAB27B,9.866009785240047,0.9056500709103021,3.5592986243689153,0.018917772272328222,2.922622346408213e-11,4.616157787457707
ZNF732,0.0003646937060502543,0.5429628806659541,4.9966555340466625,5.674355809156472e-11,6.29077167081113e-08,3.469604404476052e-11
FLT1,13.264405885800421,2.454829077698125,0.880428383742966,6.942131421142509,2.62853840543835,0.00013573289908468196
BCL3,2.225395483720677,2.8890583767600355,0.8722406541641422,3.548865459111448,26.306838712236047,9.418165744086975e-11
TMEM151A,1.4659307878180032,1.9146864798011952e-10,2.5664955979559765,1.5328711099475456,2.752641357673807e-11,26.967595453667737
SLCO3A1,1.8451808394505236,0.06413752040571455,2.842465160297829,2.6455566599436815,9.255254144731074,29.223369371002324
LOC100130370,4.24008305546693,8.054061331306541e-11,2.6122088130060486,2.5498937649381395,5.6644996494640235e-11,23.704626743570678
OSR1,8.30640520003286,0.046930508820204525,3.7830543188312435,9.908522011548227e-11,3.453012692056877e-11,0.3075802014930296
PSD4,0.9660294349330556,0.8863271183176561,3.3804334648536363e-09,16.216095608054303,1.0891083508521873,0.5963054986549134
DMRTA2,2.65344964345809,9.071901283215784,8.812177684314414e-11,7.027985903746791e-11,6.288647357102634e-11,3.876805715256812
C9orf129,7.574972973247048,6.867251574740087e-11,5.589777047018757,7.211166735883812e-11,9.162884447834398e-11,6.583326636495758e-11
LOC100996455,6.788897208212024e-11,0.6761359614661727,2.004945661019886,16.699265765007134,1.8622786599484217e-09,6.902188499084623e-11
OXTR,2.099172265958512,7.1901942095941305,1.6570779023598081,5.888503436109833e-07,6.62542454123168e-11,2.830854019664537
AMH,7.155205946918169,1.7797996387656214,4.024942720044821,1.3567534341681626,2.3996990803954885,6.666485886940629e-11
TSHR,10.014228064340958,1.947110825148336,0.01932938079603643,9.145353613797349,6.414537757875834e-11,0.0009039301538775674
SLIT2,5.218250143517903,6.991463487743887e-11,3.8341840525998108,4.842074985932102e-11,0.0040798392817539796,2.170270532969686e-09
ELOVL2-AS1,1.6130033569971771,7.897040862424652,1.3764227929126336,1.4594004794686442e-09,6.651345540431124,2.3073857632066295
LOC286367,7.9989008960472,0.00022154776800216352,1.6731041602076195,12.476563965846111,2.3307246088366216,0.0007545014772652504
