,0,1,2,3
COL22A1,0.950897751513797,3.942394916205634,3.296380364845096,3.8463744858710283
DERL3,6.374448775696088,2.4633655353658694,3.5802167553569517,2.513174433001565
CCBP2,18.28602252541939,1.1053074903122597,2.0487394732470205,3.2383935073379377
SLC29A2,7.1744949900699835,2.3173465820025854,3.41324398826653,3.9649673839864614
PRIMA1,6.546058179402237e-11,2.4325371880175015,3.508540775150664,8.41341652582226
B3GALT1,2.492861308697515e-10,5.042873938252444,2.301636852306518,2.491834084979152e-10
JDP2,15.015575840723075,3.121731556803842,0.5555063460425846,5.506277461843031
HOXA1,5.370254396880231,2.621491298955312,1.267725270434726,9.769092043930984
TRAF1,9.918443684247038,4.568148022181899,0.9401959113944586,7.263309394154565
SNAI1,6.9416418350843,3.381719560367358,2.7793858373278884,3.63280644593586
RAB11FIP4,4.548688338170337,0.001451424445904449,5.665614374113301,10.84632694217056
ADCY2,5.810063926804672e-10,3.7425902853016404,2.551987505888743,0.027264497985407428
SNORA1,12.071374365683997,1.4828314475621267,1.2275634288545414,8.199049663679787
FAM20A,15.231389977313404,1.9547424285588508,1.6569644306672566,0.04796444363203107
IGSF11-AS1,1.1771127469606897e-06,3.245039577467444,2.0303896652569766,21.3487960764615
PIF1,1.0093306759403566e-15,2.173520903794753,5.391596202192466,0.3781352604178718
MYO7A,13.46017557415421,1.2390592933333724,3.3618933416771823,0.04297560286172268
OSGIN1,3.483976497159943,4.725156456432306,1.3719378246132192,12.791652096196827
FAM154B,0.16887947845475387,5.432806493979693,2.1860318787319,6.461068695445918
LOC100506801,0.0002799733102816722,3.487114346753337,2.930182304273992,0.059680428064760385
DBP,3.9290825483814356,5.545107812045717,2.970138726324963,1.290320661496764e-12
KIAA1217,1.3412353695469972,4.344283422485604,3.7859113476116395,4.333792151372873
CD101,4.081995298072047,5.690573526895628,1.8851361048788968,0.003055862370010313
SPTSSB,0.9435542471512082,6.212576186618009,1.145011443632147,1.5839036738487817
ICOSLG,10.987620490240069,0.4722706903082215,0.7276033235016858,23.016396586354645
FLJ34208,6.671194492194874,2.648392773316299,3.9859007579386794,6.531888959463851
FKBP1A-SDCBP2,0.007859977646575643,7.174033865130663,1.8339965545916137,8.20151484036617e-14
S100A2,0.5563706424727223,8.276127195200246,0.005569609354310527,1.0502872585805551e-08
EFNB3,0.9250022811428491,0.032405445526324475,6.231296462653477,1.7718345305738833e-08
SNORA15,4.9397874954619745,0.000968396180397464,5.394626776975901,1.3460481219164708
IDH1-AS1,0.023543790745841096,5.957601418090798,1.140252550598063,1.502020433460658
PIH1D2,0.0193358320955985,6.336553297466689,2.6461672581999647,6.415832204808222
F2RL2,3.3086641596510824,5.191091183404201,1.8282645906994164,0.1381325467465605
ADAMTS7,0.017590075014702358,4.893410791675708e-10,6.37582901895171,0.00402188848696204
RHEBL1,4.609798967706338,3.3953801954449503,3.5424317185995062,2.2854124240135275e-05
MMP11,1.0002572075140064e-23,8.084405909055752e-07,5.630922407574154,0.00019321737524217813
LOC100144595,4.922371178079478,0.0011414205474261903,5.146850955441843,0.09785782747392187
C1orf145,3.1874053440287096,1.5215330979599257e-12,4.871814397059133,8.233035303875337
EPB49,0.003309936794266871,3.49736700716867,3.1254661989037165,0.08167964620846199
LOC399715,13.789954783320834,3.333630174528061,1.6622832714164073,7.407330602280989
MYH7,4.120245782031443,2.3018578713032594,2.5137407331095516,6.243078952501612
RNLS,2.8799345493529174,4.468187713276129,3.28072493433514,7.390523275401135
FLJ12825,0.3567007973175272,1.123728522165578,7.014887080959865,5.452358344759767e-06
LOC389705,2.4533734615344933,2.2271962918889057,3.429412949617961,6.410369932131785
CHADL,4.8390095500147,0.034219145428846236,3.4433373789112425,17.46019256624591
TMED7-TICAM2,4.8883010377366105,5.051452597882477,3.1984070832180462,3.1093195730527925
ANKRD7,3.71415066693576,0.608210268592709,3.928249507837695,16.12648764181695
DLK2,0.005928354088850061,2.032251797645893e-15,4.415282648313071,12.223270713629955
ACACB,5.791668465543669,7.048911044564075,0.4499625560223273,9.784696598562121
SNORA24,12.2396947791359,2.0529722464516955,1.9076895275633368,9.616877804858474e-05
ZNF396,5.529783391785846e-10,4.5303214819568325,3.4725838834605947,11.566391163622008
HDAC10,1.9744517631696157,4.546770899098738,1.421738198392101,4.411403998421879
SNORA72,0.5460554605644681,4.354264612049404,4.009262294548007,0.012367246230669116
CPEB3,11.701721156429713,1.3534286546772518,4.473887207483492,4.060010686707808
CDON,1.2999630871141055e-05,4.467148195109256,3.199454189927955,4.615050280085774e-06
SNTB1,0.5972770915421042,5.809408976741687,1.611057515039031,11.910288772673757
PLS1,1.226720179388578,0.0003336219987959282,5.533346756302677,2.90424628134139
TM6SF2,7.667586629059985e-10,5.834253933556608,2.0749399998228277,6.625763475990104e-17
RIMS3,2.625518428950238,2.274568029429263e-19,5.118195571222091,4.537661935767821
PITPNM1,9.889502074252343,3.1393012408636864,4.069789023025242,0.001192780907724358
SH3D21,3.0513364382987866,6.831375499601217,1.1566386443485681,8.555159961592237e-07
DOCK6,0.5020808229154887,8.185150995555341,2.178526623020179,0.00752753213578514
HFM1,3.712518423421496,2.893022641925484e-09,6.9628980506200175,0.05439765388584023
TMEM44,3.285301024514449,2.384993247933058,4.799840089645475,9.402401595052885
E2F2,0.10275609011604403,0.9452536446746999,6.1723533499477234,6.894809998891119
RGS22,1.0968820166489015e-15,3.6157671606506665,3.5549576013611524,0.6710325504744276
EPHB4,2.4196580073997254,7.406850110292469,0.02345626720011051,0.01544256582205102
HAS2-AS1,0.0005928533193991674,3.9747384659879152,4.5660622215865825,0.000475318382600604
MIR4647,4.531264180742949,1.9452977154440092e-05,5.090710834950739,1.7713017583039583
FLJ41200,12.026597629853867,2.486242052776917,2.7408801874800863,6.381201159981748
TEKT2,1.0047133405310632e-15,4.8326551066165715,4.240726354244522,0.10747630116642733
RAP1GAP2,8.494641876358479,3.5905798908135056,2.50414406971879,4.5940427260674497e-05
STRA6,2.7860578123955477e-13,2.1237418097783594,2.564945217677878,9.69539869737103e-65
CCK,1.550194527093553e-14,3.7456029685483996e-06,3.3777859190121835,1.0356915463051424e-17
APOBEC3H,9.35568134002312,4.314382181354636,1.2606162710132846e-16,1.741507024468594e-45
VIP,2.6378528603780445,8.536431627888019e-36,4.032784468799501,1.4565913877301308e-24
FASLG,14.620586750144644,3.1095588173895368,2.6876695184846453e-25,1.56971047446198e-63
