,0,1,2
CYP2S1,0.17421433103571488,1.0378755454561783e-40,28.210497700735004
LRIG3,5.301814616860893,1.1136785587135023,1.0822974251153765e-07
TAS2R43,3.0908564318184024,5.932473262697663,5.354356976418878e-23
RGS14,2.804817446968312,1.2543149906645944e-15,22.33610030891026
FLI1,0.8103410329067753,1.4953184981774023e-17,34.858170391979
NFAM1,2.421965685959594e-05,2.405886268469526e-17,35.38787684092276
HS3ST3A1,2.92761443814106,4.837384522513131e-90,2.879292749627842e-45
MLKL,2.7062823749392973e-06,2.035660130645215e-23,35.78307154388538
TNFRSF10D,2.872140607514656,2.4105221477279245e-06,21.033847675745122
CDH18,0.42352149055747756,6.666566948583991,7.016836306607332
TESC,3.4464386898410786,6.458190288565581e-34,5.435192345348295
AIM1,3.17363834408711,2.0160513069417325e-15,11.341727010736616
TFPI2,2.3793519550224977,1.2978293770558718e-08,2.563164920480897
CD27,1.608842913481055,2.5627332702675476,16.39066797031478
PAMR1,4.061648326994668,6.748851599299381e-31,1.910221106581432e-43
IL1RL1,7.398795331928065e-64,2.817845370439139e-121,25.817998143887003
SEMA3C,2.4407573976625523,25.531145897804276,0.017704390906615127
TRPM8,4.251745907706215,6.549768735188512,6.143563497299447e-16
POU2F2,0.29826845003102215,2.028189944725757e-06,33.23619050548838
TMEM196,3.5741275402975665,14.251663805325961,1.4016612947748476e-09
SLC17A9,1.7763497595525276e-21,5.870940685153949e-18,35.283099582052415
FGF19,2.543859641467279,5.338688842287762e-49,2.7021578524172097e-56
CEACAM21,2.6027764336158282e-20,1.1705637477980284e-36,33.75630800300347
SLC17A6,2.4441951013258336,9.71099117287343,3.7326026473998937
KRT19P2,0.0949688508415843,2.4431199723228105,24.345954051110155
FGFBP2,3.093529154988859,2.6478116212880155e-22,1.002850436396138e-07
CD38,0.8036437376477858,5.59488218988609e-15,24.902268716003878
GOLGA7B,3.708066871501138,3.8314485353327194e-17,4.4718903856867307e-44
CEBPA,9.59830912315325e-12,1.6321653903914461e-21,34.87700032798682
RBFOX1,2.6300535550700133,2.0236600361101837,1.3487721987182273
MYBPH,2.1769514671401455,3.8388733021769546e-44,6.8093846672963725
CRYGD,4.576331724030406,5.3342054439468685,1.9841472390087596e-51
LOC643529,1.9759335237114015,6.377428497049311,24.112969208135247
PODN,5.522367096502804,0.00036600514116398976,1.8698804109792
C16orf11,1.7772386667194566,8.195978807316996e-156,1.6708627920732594e-80
C1orf192,3.718532878997019,5.7175929551037905,7.88229121388779e-18
KRT5,3.411622477880313,4.311199182844774e-21,3.79701926453648e-34
LOC158572,3.7127159836568544,2.640387982195417e-10,4.4191862054582975e-43
GPRC5A,5.3510114838996,0.03679266634317951,4.3882635621941075
SCN9A,2.9104018851516633,6.751040829539654,2.0345034558795696
PAK7,2.371542706952502,20.67375983552045,6.152985780190287
PDGFB,0.9105711420869289,2.006020522594711e-08,35.69956311017372
MUC4,2.3603363117988545,8.558762641019244e-14,3.923362177483086e-89
ACSM5,1.5889025507492835,3.808301081824156e-13,29.284966910200396
COL24A1,2.528311517000794,2.5833562342784602e-25,6.573494325871811e-45
LOC389023,2.832455353143948,1.5870505436729305,1.2891220135010163e-126
PDCD1LG2,0.6931995838743209,6.331526607110305e-19,31.33274548599047
GPR18,1.523801563410541,6.0128943427687125e-05,28.730912567998345
SLC17A8,2.607984604575936,10.98043088073854,1.8011889487766386e-25
ACRV1,4.267746481230708,6.725604441757677,1.2084054861112061e-45
