,0,1,2,3,4
C9orf129,5.877907925683602e-26,1.6477005970816005e-10,6.342196986171701e-10,6.433926503010861,5.507040126575889e-13
LOC100996455,1.069332955931281,1.606615019272145,15.874527011363924,1.0874625822883555,1.8478831811209897e-25
OXTR,7.012954316864124,1.993570008568972e-22,8.010477860007282e-09,1.7405006015657394,2.926913670171032
AMH,1.5579249911770097,1.5806789709254279,2.565527564827691,4.9159595178606255,3.156024595399938e-13
TSHR,1.2055682824817668,4.609169333308549e-31,11.90078278030674,2.0889696949481618,2.1687805742481343
SLIT2,2.5606034189576228e-27,0.9053762913467547,2.638867538245004e-26,4.310868248628116,0.005153834562051929
ELOVL2-AS1,7.714375915886138,6.273444667467387,2.940300584363741e-09,1.2643074125622815,2.261640636718383
LOC286367,5.165162513949773e-10,1.2993712606055021,13.922877259991601,2.8539492521927277,1.3389586885092577
CRYBA2,1.3479544327691357,5.737291182498818e-38,0.0001297308878151804,2.7500719743798188,3.86135522612225
FAM201A,3.722999725384635e-29,1.978780768971893e-11,5.773263883766373e-45,3.1705599396442623,13.631028018566306
CDC14C,2.610060565625636,0.030694521424612327,2.2401063245334045,3.7379268718842544,0.8114369536217183
LZTS1-AS1,1.804594333295571,11.85913015879133,0.9672726156241764,1.9627705111848357,7.391825187257898e-18
LRP2,9.144715555608886e-11,8.286400228027555e-14,0.8116504978170116,0.49253222513766737,30.771064664831393
VTRNA1-3,4.3319957132497695,5.509091966363277,2.606905821863252,5.258191412174637e-11,0.008275140826817563
GPR133,1.6186573868283156e-14,3.893607193745015e-11,11.009724209316168,2.3636726652720674,6.8351001098803805e-37
NAT16,5.228303410167909e-25,7.73622282564052e-13,7.566936697388693e-12,5.809641069767429,1.7609676474833256
CCR7,1.9953432640588644,4.563510898122375,4.730248533899299,1.2723438407858687,1.1141672428963618
ABCC6,2.2890788076978534,15.998644854029223,12.335720765299094,0.6678096524171017,1.4981390347496515e-17
IL7,6.171098868340124,11.73174088248397,4.390584059369818,0.02523425290838356,3.78538785626053
ZIC2,6.811390549273181,8.755232032954984,1.2401015856718204e-40,8.997890633909851e-15,4.4138990522136337e-14
DSCAM-AS1,8.761292669493095e-11,9.342050761382236e-19,4.068087683086052,3.9622360371235126,2.148674048446617
RANBP3L,5.752348074298073,14.40012312219622,5.63712148282479e-45,3.029973045903594e-07,7.907795284835331e-15
PMFBP1,2.716008609040255e-23,9.359446373192561e-45,1.0439590891199921,2.644417912411689,20.217999600622715
EEF1A2,1.059856609122523,4.320546300825122e-10,3.1980963044629987e-19,6.69799039949726,0.14558853009324288
C8orf48,4.28657109004962,9.898264101095705,3.2679121064209353e-22,0.3213124873416079,20.663286354959098
ATG9B,3.99529539926363e-05,3.450454810143258e-17,8.047629909983925e-27,6.694307724048568,1.6149498318621252e-11
PAPSS2,3.161117067569195,2.251546211397225e-06,6.9795221659955144,3.813174083102753,1.7323046869397138
RASGEF1C,1.0840803852302347e-16,0.9151162266315459,17.87197471628192,1.210111271892884,0.00011594088156262172
