,0,1,2,3,4,5,6,7
GRIP2,7.899167219198053e-05,0.2715308730020213,1.2929558100985369e-09,4.132790717689224,9.533500665382164,5.7242008290168034e-12,11.194341986904083,3.498623170101179e-09
ZNF804A,4.8132347301055005e-11,21.911993721203043,0.00010902855103339639,3.72768935030216,7.607387659814113e-10,4.822701586888132e-10,1.0299042401092007e-11,1.3439901451999113e-10
KIAA1199,6.821476437851925,1.7264341081158143e-11,1.2968837171378126e-09,6.701050310633101e-11,28.24494162731099,3.5377339762504795e-11,17.342275620569673,1.3432707697298751e-11
ZNF728,6.992908658075793e-13,2.7047265152963593,0.0003860732969739495,5.061911565903914,2.911174555371343e-11,1.3814578778060647e-12,2.7208257314575806e-11,7.799526798963777e-12
CXorf64,1.6228350876497561,1.2407401942826835e-11,13.00595297818643,1.7353724814320046e-11,0.06933987355813512,1.1263070892154432e-10,4.231146973446802,2.4168100396134804
PPP1R16B,5.969085743401091e-07,0.017076203992651928,0.0002863408788899384,3.7921444797452155,2.3616698505876426,40.59031637935539,0.003540891699619605,4.805829512754008
NPAS2,6.816014210467283,6.149114656450355e-06,2.4638483332303776,0.5164548521118232,1.1276533876584308e-10,2.0538396574601487e-11,6.09772276696608,1.597905701267087
GAL3ST1,1.1688364420588549e-10,4.330146712950458e-09,5.257484664782869,3.2457125371080817,4.321029109672747e-11,35.25119220424581,0.053893407572546154,0.06683506032469635
HOXA4,0.9207983393826498,1.5851100042761912,9.940457791391305,1.2857641213962248,0.0001381519972245777,4.489605401667493,7.6042717605964825,4.219486723759542e-08
LOC100499405,9.483110887352133e-08,1.9655003083523226e-08,4.46037173858068,1.393678913267774,17.202230431541558,2.9878279572860005,3.4279078463322755e-06,19.051338120800093
MAGEL2,1.2287097540671247e-10,13.880583367143602,1.2101862225971212,6.075239596115485,1.0211793762169703e-10,1.6500125638365656e-09,4.042316106602355e-10,7.730051019433837e-11
CD300LB,6.684682794399063e-11,5.3113726501159135,8.493094029404637e-11,1.247226077890067e-10,5.5599568317974725e-11,4.231730220788156e-09,13.840456539277389,18.55604789051802
VWC2L,0.000880043705715955,11.402119119160878,0.07920899012092784,3.2631734660771325,9.547315913017124e-11,7.404131448411468e-05,11.387515954076019,1.5704726957203747
LOC151174,0.00024093379583437752,4.756663555827255e-11,1.2995690832537246,3.5820422827132052,11.732808352538044,16.29400679428185,2.3212420451583328e-06,4.212801714050076
EMR1,3.317170363152319e-11,8.287211627416709e-06,8.674169931495775e-11,6.829745613650203e-11,1.114304393219667e-11,3.5500312827176314e-11,19.229607309449037,17.668375055076652
CLIC3,2.6984310032204686,1.5372119858153107e-13,2.7953296674348035e-11,0.7897350068890241,7.077042335154491,0.004070959095347016,5.5807581227106584e-14,5.16825222847858
CNTNAP2,1.218995293617384e-10,2.9785969050716038e-05,1.4361752615624475e-10,6.644250362002176,1.1448425771267291e-11,28.99099490913168,9.324799463520554e-11,1.1720478464172903
GRTP1,1.2493824781389922,8.64724436120782,7.104044619669635,2.4186065512136805,8.737815254228387,5.0700150826492e-07,2.597672684708422e-11,2.341714704588111e-11
GPR126,3.7731393999733304e-11,1.3363459046758616e-11,4.898314840710153,2.2344091129644297,3.4208895304880136e-11,1.9526160305327844,5.714078379380144e-11,14.690491500450666
MIR3650,1.2884816715880605,4.807583290036413,9.158762134246697,1.5163238927913107,2.4215118522400695e-11,2.0751171455350058e-11,0.014638533501546123,1.5638634132897649
P2RX5,1.3052294712002923e-11,0.00526237916464465,8.588691673422986e-09,5.214079850505661,2.8229022001615432e-11,3.787740301517143e-12,4.803809614399777e-11,1.7912308670989532
STOX1,0.0013136831168282146,0.00026148155601761594,9.940918839948008,1.338414997615535,34.70504554646121,6.454960993816886,0.03835051509348292,8.829535870838388e-11
LOC100129518,5.463808809306151,5.913413892173649,0.9299563322870562,2.348645269210184,7.610279044891231e-11,5.300491973804475,1.1630951803191517e-07,1.3361868681273688
IL4R,2.0212979117254334e-05,4.496669354866453,1.4701899972889387e-10,0.1646535345238503,3.7768811339463877,4.7338481364107926e-11,9.10901144792122,19.84336881049473
C21orf37,8.567447303407978e-11,12.188622836756608,1.4456714971731792e-10,3.9895532716634885,1.3992472543818134e-11,8.205088152356788,3.0225092961872275,1.3379820950771872
LOC100287225,0.00010880219956759202,6.838730225434864e-10,12.560378220434869,0.5222719765791868,8.119370480865045e-10,34.05817549322772,0.13649811210838636,2.7054632016018676e-09
CD200R1,1.3106410662125128,1.299711366224993e-10,1.0361237145751604e-10,6.218945243787536e-11,2.4938684203092314e-11,1.761641570327991e-09,3.3256517185096197e-12,18.455765540605743
