S9,S8,S4,S6,S11,S5,S3,S7,S2
PLXNA4,2.43894138504594e-11,1.3620667155466,66.872183362347,1625.03230841386,423.420835999339,7.12897064507645,168.781742814974,0.000574985752358121,3052.17806241373
MMP10,1519.69455130522,1.32960018782071e-27,4.00110443603141e-31,3.43319191166209e-10,792.158820745208,1.65736821091895e-19,3.18029956633518e-17,641.956871680759,1.8070083057701e-05
SLIT1,7.45152244653202e-22,2.32955431032003e-14,69.7869567883184,1741.5966134117,1305.94387179987,4.75103849564104e-06,1.01249767583529e-11,1.20684943236555e-15,3.69709471898806e-20
PPP1R3C,518.860820336188,0.436502809951662,1500.08884850012,201.312047259022,146.896271104182,6275.04551754739,217.384093234491,134.878787967792,1.36334235005643e-12
KRT15,1.34179785820852e-19,7.75691093991299e-17,531.332559742479,298.017162545746,1343.59186800369,7.20392385727009e-07,0.000523737683039981,897.55442125431,1014.05021944858
EHF,4.56369674913751e-32,1.14474418150959e-20,1.20518905544441e-35,3.82082406248927e-17,1.14687534626952e-23,1.98512929633754e-25,861.894758360386,2071.78118688936,1055.705853901
CALCA,1.44772961346612e-32,2.47933023152846e-15,1.8745321390463e-47,388.032723757684,7.35039172000809e-39,1.95274086985026e-21,286.883856277206,1780.17349083047,443.53554367499
RARRES1,5.36729016663603e-11,1.20292166856946e-15,958.991376172373,1.47842300344292e-19,0.0111380642802401,1.27633572226889e-07,6.65236143006762e-10,3512.83931359341,2328.18544354226
PENK,7.07185015886266e-16,2.51018634099037e-24,1323.19732295514,4.46245334030203e-08,967.187469031921,0.867318071859171,242.162351241466,3.01031070046794e-23,0.000129036457289442
CYP2W1,1.5219249195251e-23,3.65339255979558,50.2996245299523,1499.11569819511,1383.19538261027,0.370228828866269,5.8005732338937e-20,2.10956256394287e-19,3.7436196319027e-15
MT1E,1.29769119644729e-21,2607.95336929519,0.00200031330374876,9.34412315670481e-20,4.25143267046357e-09,1.45663414204893e-30,2.42962082203666e-13,1.98072460471929e-20,1098.3161312405
SLC6A15,100.133762176352,88.3195337318841,2.63800267897325e-05,408.573752116574,1755.41472964964,147.241633295259,660.683511985152,1.60840791681095e-05,4.7855756253803e-23
S100A8,6.24431026219948e-15,8.69520991449076e-05,14.9129427354301,1.42941525282406e-05,723.524810449647,5.48517189805063e-08,54.813018979435,3356.72619946377,194.988079544057
NDN,2847.8863402006,337.093653342036,418.148512286984,0.275379498620229,5.92385970274967,0.143018238090749,419.33902957601,3.16748442728458e-18,27.8402796422735
TSHZ3,603.804062589806,7.92786500802789e-10,4283.69501056535,169.723708234484,467.04133509707,1432.17390320078,688.348586234991,703.026860429715,7.90431231683948e-20
TIAM2,2.06902745296391e-19,926.779497378176,5.93681234435831e-22,2.145982987691e-19,2.35120227992608,0.00790589619820522,1290.40653731022,2.73803915784344e-17,1.0428687068809e-14
ODZ1,1.23967955902335e-26,7.0597498682173e-15,5.55572284968658e-35,1081.2699201494,7.35123000459506e-24,6.39951838394436e-29,121.521275939789,970.910681623147,1195.19586149336
ODAM,2.94376636876419e-05,1.91890476117151e-49,4.26555675335486e-53,1.41612475576424e-36,1001.72411598441,2.39927413567628e-29,1.87182721414845e-33,3141.85088488308,7.07461752969606e-20
BIRC3,2.82559794564419e-20,0.0172430365536661,2.61003086717492e-29,4.47906599516722e-16,6.47236667275902e-25,1.175758350262e-31,1.5984421723093e-28,6.75492802769691e-30,5.85072481048768e-24
CACNA1S,0.0335823844303766,4.10378282665114e-17,2827.77610205728,9.27691239639633e-10,81.3766162247133,3940.02597577119,9.17402808147832e-06,1.74343038017888e-25,1.64633826907378e-19
CLDN5,2.78632645702423e-06,1051.84983380253,0.000248455065953345,525.248665421937,953.974471393901,258.803047412407,0.312270112027928,0.118633042147343,12.208812187296
LRRC15,9.4677349750153e-11,241.87829755568,1.76293069123537e-40,2.16775690694744e-26,1382.93654594622,1.02168697363467e-44,539.307609603613,2.22229860569695e-18,2.0912101158894e-25
EMB,1.87390109253525,106.540775832061,8.68626284636343e-16,6.09085057446525e-05,0.71355844134542,0.0264907683207509,895.322124548515,370.657931725975,4358.09304675976
