S9,S6,S2,S5,S3,S7
ITGB2,0.8387122006275,245.028561072417,24.6921109231186,5.27988082627337e-05,13.3133114190196,14.0213328851671
PVRL4,619.962744644836,867.872642161505,3260.54242921736,353.702634905843,6551.42783081369,1174.8366540792
SFRP4,7.11122951118648,86.4179918396577,455.728582229242,3.37668599325552e-06,0.0148097092153733,3.89627064160493e-07
BCAS1,30.3660647221215,9.68155722170414e-11,1.57000596882749e-09,4132.29103862533,0.00631239513590698,2.75680003802257e-11
AKR1B1,199.301432561162,1244.80076893665,6487.63280766629,46.6636049611747,35.484740298049,697.430105473254
NDRG4,2.09823983169881e-10,386.908433875165,5315.13155001266,3.91838917160806e-13,2397.83326675313,790.376598463382
SDK1,0.0294064495660194,598.057082091374,4925.16603642149,8.41651192483996e-06,0.00232708836279693,1599.81706019725
KLF9,148.412842236183,492.552331092947,241.433055502861,1547.53920414081,13.4425750725935,606.442387008108
ANXA8L2,2.29526776509022e-07,388.061769643174,967.002779795628,2.08007339089442e-13,5435.77961975198,2820.08530847808
ADAP1,4306.92777360689,87.3350118658175,171.404417887305,3453.70541277587,1.66407987681922e-05,364.364903146852
IGSF9,2.72611195519632,3354.45149636128,3620.14415583503,286.43894315262,778.361202828238,1332.74869755728
PLEKHG6,1194.04525648993,1336.36476145248,693.815423218647,1266.4562542711,0.0186894396085491,734.362609529436
KLF2,970.080272113317,0.298956963240811,174.181542045211,2633.88854587386,667.722308067858,0.020967588107827
IGHMBP2,30.101170676678,1740.78929664946,447.414106372653,67.7786651099342,832.328791675992,1654.80642030699
PKDCC,1340.06589763095,425.037231963967,0.048143491299937,3378.90957792783,5.85951211745158e-11,8.25198513904977e-07
PEX1,450.636670666352,2294.97723141846,143.755737942329,1072.06759943311,936.630228790742,52.7402047455459
LSP1,7.41036123760296e-06,276.818642148685,52.9860497914815,3.65197311014744e-05,1431.38842208114,1.31878145493085
PCOLCE,34.9296820470848,561.4481581991,810.799440863627,0.0543065552969942,547.86142410882,416.352184746006
CMBL,94.2952349922897,922.895728337387,130.196575638677,3293.18925360823,12.673329450548,426.276591364675
UNC13D,2674.03138720705,1144.17380108892,2.2645633744197e-13,1750.99773498673,577.712419029954,471.457598973712
TJP3,2553.11915984773,17.8458162072417,5.90515597854564e-07,3886.45990628832,7.50466562085158e-10,7.86209706385137e-09
MEGF9,177.022074134121,701.048766231493,5672.11005168883,533.751222683953,1.16996337488524,1831.7009631711
