S1,S10,S5,S6,S11,S4,S7,S9,S3,ITTH
TCGA.05.4432.01,0.0311830650130045,0.0282778894947805,0.296037394959472,0.40718640368423,0.0471812999362949,0.0622243979848743,0.127851379352942,3.56373732908515e-05,2.25322011106758e-05,0.689795932240275
TCGA.05.4398.01,0.000244519004079459,0.0543863434974497,0.0258945315073658,0.269801043860688,0.000198431290031144,0.142678435851745,0.316446329967815,0.000523232286304564,0.189827132734521,0.715196852313629
TCGA.75.6211.01,0.148049444219065,0.041342381287583,0.138831342353423,0.664790626150404,1.94425965050728e-06,3.14292422392473e-06,1.91507267879818e-05,0.00695862578737703,3.3422914859162e-06,0.452819352895369
TCGA.44.6778.01,0.0245847561433276,0.0042728677127386,0.0102621424822958,0.469898866177912,0.0438990214513966,0.444345247687667,0.000922072569186035,0.00083311006967233,0.000981915705804116,0.470183064735255
TCGA.55.8510.01,0.039776852045474,0.00437975680242805,0.000615130736921493,0.337937503483516,0.0642467238633495,0.172271548084653,0.305898836780496,0.00780853196236688,0.0670651162407961,0.72090667002825
TCGA.50.5946.02,2.90091455338906e-06,0.0584815487898269,0.0220149783068271,0.464314358784315,2.03498370079816e-06,0.170074425124735,0.239963570809168,2.63672311238208e-06,0.0451435455637613,0.6326121822067
TCGA.55.8205.01,0.000175319708196634,0.026324280561262,0.000305025561718296,0.509748566451967,0.00337580004564541,0.17468855136159,0.0592085772286787,0.000210891839239816,0.225962987241702,0.579123651916312
TCGA.55.7573.01,0.00592133856690607,0.00131496164744252,0.000425449690505098,0.200848655732428,0.546575181055735,0.165008889767742,0.077784042220339,0.000205593787752824,0.00191588753114928,0.548266161684593
TCGA.97.7941.01,0.0247193055923522,0.0382271870691287,0.0233635323592913,0.270105323129927,0.269137201569313,0.111921762426997,0.0938029098882317,0.150239177513662,0.0184836004510974,0.835809074564983
TCGA.55.7994.01,4.91801297396387e-06,1.14675694541282e-06,6.54340917863722e-06,0.35758664353731,0.0429146764133663,0.286532977790048,0.0850986887760926,3.33171768523712e-06,0.227851073586401,0.640749781708721
TCGA.05.4420.01,4.06572839241151e-05,0.11604535130034,0.324178232582111,0.263239839317376,0.165077915574072,1.23400231331537e-05,0.128498026772027,4.68558551990397e-05,0.00286078129181837,0.703270996370213
TCGA.50.6591.01,1.41195823436218e-05,0.0540852174365802,7.84892719596514e-08,0.9396703842839,2.07492080554853e-06,6.75901612985272e-06,0.00620773475949343,8.40055138456419e-06,5.23096009038901e-06,0.112972051298776
