S5,S6,S1,S2
SESN1,724.790919408407,825.886152432947,0.000427697559444975,843.229579150629
ANGPT2,115.47623652217,1182.58231695522,0.000336162746188243,611.403911836099
MN1,816.943495212035,1133.17680202101,0.00341950294451547,2008.02954350445
PRIC285,560.360204663664,1574.37158920653,0.00227340070379218,370.908047061689
CDH2,471.013481647924,855.802166545019,222.452187059006,1861.68456918429
DDR1,1818.64781250791,1151.18035641601,13.0815104752492,22.8131938885489
C7orf58,2066.87454255374,676.8219952782,4.76818354316439e-06,419.333532551428
MSR1,46.9916669058729,231.141680178672,0.00339709072540851,754.440459251025
RHOU,99.6194505079608,1711.52503450902,0.109658695457241,68.1307869775983
DNM1,0.130033372883763,986.126169708379,1487.79594802379,3343.77836894089
SLC22A17,1466.79025297173,821.724949150853,2885.57372318117,3071.93651478818
BAIAP2,86.8588813336455,1174.75708717316,6644.15345859883,0.637284242564414
SGCD,1499.64605594483,1468.55539446689,0.431841779889427,3527.94077730395
TMEM98,999.240923621153,1383.85199015874,2459.61322348848,3401.37820949128
CCDC8,1.06462958127917e-21,1335.65762996891,1744.55579584499,2077.70210369092
INHBB,72.27505845176,1143.82078690207,1642.77243001231,236.562218997378
SECTM1,679.754057405146,16.5356025795264,765.96574693559,497.893260404704
MYBL2,269.134656742359,1541.16242387671,1399.71114852037,54.5798045760476
C11orf95,0.2418344147563,2086.48459298746,732.043184699686,1428.93137335353
C7orf41,1183.3079575569,1821.51276261863,1250.0700877957,84.1567174186026
C3orf70,3093.48207311432,420.679374035879,1.14068713873309e-05,0.000351566263207276
ASF1B,2126.7226740517,1114.47317059468,30.4019847077628,0.000226402678357582
TIE1,623.483029593275,921.106872389446,101.687218218055,2398.52997735667
HIPK2,232.874857892024,2261.42595261263,0.083567810880779,4.53758725451072
SYTL2,1416.78871964237,638.398937019399,0.000518685112932349,2562.35246250927
FAT4,978.985595571238,1651.4329091119,9.36640993983344e-10,2604.55704359504
GPSM1,45.1276843945009,1816.13018056136,4019.68094373199,1826.83396448353
PAPSS2,3.95291375701325e-16,467.947409884187,0.00612605469157394,4682.89273928612
SLC24A6,248.514239859249,815.751822575958,756.61750773837,161.83205973122
ATP11A,364.893876905043,1507.77825052264,35.7755996628262,465.610525477086
ZNF521,46.5479551786483,1311.96255649747,1894.97164344662,4544.65113965488
