S9,S5,S1,S8,S4,S3
KRT15,1107.82702915404,6.58869186181601e-09,759.052879282994,0.333276283838892,0.138441299710438,1228.78275279219
SEMA6A,0.276109388380454,51.1654945773195,291.186291987974,2147.55972909421,5.33147499369004e-17,1.91004073917886e-17
FAM195A,710.463508154055,809.553486845268,376.635379974451,1.36636953521518e-16,5588.7849526279,1203.07239735135
PADI2,113.938683334659,697.970338185791,1371.86658667265,327.908676482705,502.351204474019,7.70415455265089e-20
LAG3,1.09804257532996e-15,1.80636190653834e-18,3.21780795524007e-21,62.4619475583878,412.52405036121,4964.5355675368
TMEM119,449.713826460684,189.525756031141,4.83920674601697e-07,548.18025825957,1485.57638789425,1.0323522556017
LYPD1,1977.55273397111,5.49715973826757e-08,3.40328503053114e-28,625.08624305186,210.059427608206,2.17409990800738e-10
TSPAN18,7.0549968232112e-05,468.94581868203,4.09594356813293,2177.05467531604,75.8001553909875,8.23715130711863e-19
AP1S3,0.000193216176129287,929.987978384301,1256.89755659863,5.62692088101995e-16,0.0769478645697084,549.60809236739
SIPA1L2,5.98020208438361e-06,1424.61003706982,0.0001067434706503,2017.75587074171,195.501828303799,1.50745424532835e-11
SPNS2,638.480431602443,285.314844798356,310.790627528501,989.022145777538,1561.55618163972,2.96731309138602e-11
ADAMTSL3,1.75214505488843e-13,8.4548882852724e-24,840.170221555676,2287.53327150127,2.17027108986897e-20,167.689769760476
DNM1,670.107647181272,245.282301874064,717.594464161707,1804.86559785784,881.34091960336,2.76379733468803e-21
IL34,342.905649067118,381.524756387671,1.85005384696459e-08,1172.67192330637,3789.67297068359,618.292744991978
TRIM58,370.768601672213,631.849509361647,1440.84171517085,2.5104132820373e-13,4.94388245463166e-22,1.23189985958582
CDH13,9.11040887026114e-20,6.59935323959649e-26,7.18597752392433e-21,0.838795922485449,1.18219061330952e-16,3.80036024490282e-09
ANO1,1516.88707915533,7.42911574366813e-07,694.768608105683,1454.29525909375,0.0526850653833169,1.10959290843099e-20
TNFRSF19,561.7419275999,642.080988438205,634.939334300971,1128.23869120528,305.653159682994,5.81806046232773e-29
CD83,422.04609721923,264.394092818733,44.8342922313589,22.7037064064238,165.584100149175,3.05669347311604
