S1,S10,S5,S6,S11,S4,S7,S9,S3
RCAN2,1079.84636009906,186.275818311488,543.095964337864,48.2812904071272,1848.81971544198,638.957452362745,127.85784655809,1.93135306172503,0.000747104253630007
GYLTL1B,770.336998327746,283.481882652868,2198.18830082498,1038.06986218206,7.83690329109221,1235.56034512759,1409.99242707904,2.61792553517151e-07,6.72723837036054e-06
CHST2,46.1387258111479,86.64653793704,590.789023918096,444.930491112864,1575.54929815682,61.8016984503342,246.075515740068,0.718983495674819,311.230022360103
CD48,0.000619360211176641,3500.03879486625,13.4919314239522,0.0418109128370149,440.47287859598,0.15521898508661,30.0958277566746,15.193342259857,0.00525203536772033
SLC2A10,0.446216697796992,248.894506340792,749.662649006472,794.195282283038,707.189157063511,0.2522893641887,933.136784926596,2893.70931189808,1058.6102296018
SNHG1,0.34190221984016,4995.89696946748,921.807698151515,1269.49879911968,75.8322162623934,432.782786607859,505.233253949302,0.055340051572482,265.815008776075
ZNF330,1020.1173786839,564.061772872611,2616.46490199788,512.50482654335,924.986745301303,773.067910562622,312.502215029099,124.786762529404,199.753033400534
DGCR6,913.025351033757,588.79658507216,943.329939828344,462.92507255138,932.32728148225,170.837034924623,2243.58413854205,47.916321918462,4.61758536647401
CTPS,327.358804167651,1038.82518846341,278.398880395699,1880.91710686446,383.745226566791,134.0189740581,248.006203214796,31.7491134906739,1794.71761797061
CHD7,36.0515233253296,25.2051423306834,1409.44899848474,2026.81287388391,11.2613199448459,995.874470235734,29.2000297225466,206.423285262336,246.426494439716
ITGAM,0.00588791413424003,7.28494582454106e-05,0.000591166625538074,2.60782766873517,926.156150519093,352.404139789452,112.203657317126,571.082487725528,430.684098039759
SBK1,0.0256566984759697,0.519081450742197,944.599303968354,1613.44984488064,403.278377251346,813.04668274928,1064.03047795037,1.26187698566076e-09,1.25977763616189e-09
TPSAB1,0.0158656215893703,429.590235809945,0.00115853947135147,0.00403345780680828,2560.75563210949,425.722864978509,194.640281193203,232.027457607039,149.089306578612
PITPNC1,1.69556193560838,1386.77514051211,3139.2116312275,588.541963818828,0.0176507621246562,642.237914591128,72.3520676170846,0.269658657178164,701.237901427684
MBOAT2,0.00208441791280984,45.119833245578,3.80938341970176e-05,455.977245157498,283.154658045771,1122.59295717408,1399.76824138439,1201.41219042984,3276.0772259865
C9orf152,2818.03169893546,16.0280782543553,1418.09211200958,199.02942502382,1570.79892926347,831.906064638219,0.0593364772169722,2714.19171029046,6.98092271784518
PPM1H,509.947503560364,9.34332758905583,1418.46218188038,1564.66838841571,392.880966898681,15.1109783517874,358.175208723523,1122.90171388253,7.89068673743626
SPAG5,0.10678337063997,240.233493138371,558.697253662781,2304.58486058263,3.19660080216755e-08,15.8661934271403,383.859795949067,0.127018887085758,1524.87028590509
