S7,S2,S1,S10,S12,S8,S5
EPDR1,1419.97716645657,4830.13248080754,8.39848432612829e-11,1521.58049933576,0.0160478699769115,3172.51100434259,6017.89849338412
GEM,0.00586417701079043,10.186200204444,4278.07428361353,55.0804340053994,1.3744555823914e-09,3.55182958983407e-11,71.1565748928892
H2AFJ,291.134267471299,635.551711737822,1059.49931292581,3999.97257202276,1893.53454190341,2134.84221632241,11530.3315406438
MATN2,992.225369348768,489.908354405306,400.331804439048,0.474159569242985,390.960197485064,444.605288816866,2.42554248964573e-11
GPC1,517.585546302274,522.101321686247,990.118543370415,1835.02745643213,6137.13387466311,1932.81994148954,2661.57013679544
MAN2A1,1355.38735611283,5454.84645852759,7.55320885506571e-05,5.53853616131105e-06,6.65278375713846e-05,2338.16146057778,6.5644832408595e-09
MRPS6,434.164720216016,341.962916280911,359.494072914545,3635.76117819243,278.914211653487,6.47014256471169e-08,12871.1126520601
TMEM147,748.437459817595,916.675085535105,101.927374666017,4947.34864555357,1197.96755042771,0.00578814674596461,19946.0449336497
STXBP1,2124.36171137164,497.519898256735,2786.39954831631,0.522430511666871,3.4874899909283e-08,0.000481791008344774,0.000142785613485556
PLEKHA6,2624.67556422495,1157.52755614872,717.395897641158,0.326544596572866,1797.51875805941,1395.95029179,4.03659523441837e-11
IRX3,1345.0693602752,1.60321788953568e-32,1637.36004451658,2361.79328137787,379.303650210241,3.8050625540393e-26,9.1130445428687e-25
ATOX1,933.801050220839,1.21805524592381e-09,6.09246968370755,1620.45446292969,5.56271583463507e-05,2980.49232256239,16813.3615561839
WASH7P,141.278222864641,1626.95841547798,5482.26464001041,1467.05901117685,1732.72665237798,5.10021356441933e-06,1648.50939958781
LSP1,11.8221038267016,6.51868935030565e-09,767.119963950144,0.33533944196749,0.108646299020019,3.25590624076494e-09,0.0190171723586945
MASP1,1935.72934016966,1.04849779503518,1252.00063096066,740.064098133087,21.4928671593342,4351.90940196069,2.77881831351576e-17
FBXL16,1681.86749891665,8.22983596159853e-16,2679.02364743757,316.927262270848,336.814968907147,2.49317767907728e-19,4.96352356754881e-17
LPIN3,336.892249282173,706.240057069104,3858.02893514404,84.0205052482816,2546.33304229126,1.32232676074568e-08,1.39691303981747e-15
SLC27A2,2959.75832631165,5.6599003546326e-11,1145.91358182867,1.20696445063488,5.61469540899854e-22,1653.24737644897,1.28001572343172e-08
DPYS,2652.84458323501,2.79028512538661e-20,0.00495735065772074,534.169948354033,1.41521785115503e-20,4114.39736658297,1.60825854773664e-19
UQCRH,1120.01915693021,1701.52839041603,947.942955095978,3260.93231712189,1302.6301699536,4041.01654637971,14480.8064259531
IDH3A,1348.16592968818,6332.97580135867,405.273674371966,658.603337124939,383.613966398436,553.716776347197,10326.3896244519
FYB,281.708419914937,1.42952963820633e-06,8.74703167393833e-05,1.41400623472799e-15,1.47641771647954e-08,5.8803967095289e-13,7.91259968170557e-20
TFEC,2693.36669352989,5.58183492228102e-22,2.74706603598797e-05,2.35149029187595,4.10125359081003e-07,2.23868090801647e-26,7.01120598535144e-20
ARRDC4,930.022520980063,549.91488234464,3481.97906144991,2.78996360161619,5144.30446186394,1.29267728954792,389.289585800035
HES1,9.02839575298493,0.000196449787708738,5750.61548293652,3162.35159816694,0.000151851706178575,7.36764824974397e-08,6.75602943766258e-12
GSTT1,1802.37173988771,514.078416427662,22.4694625424215,1370.96487884775,0.000292629824158863,5200.56800598663,0.213793008434725
SACM1L,866.158669857611,6613.98071179463,118.934354871428,1412.21598817994,1.17035950179786,2419.55017190552,8344.66581606708
MAP7,3260.55036442386,633.759774780913,1497.05489352668,23.0424307303052,1.08671904984094e-06,0.783210773090459,395.41077974953
DBN1,121.313105790236,4376.8800211773,456.495010436521,330.730716871813,3393.95704085764,3347.6889808966,6749.02697832756
RUFY3,1090.56043942322,3002.50761513755,2644.63536154297,17.5126505381745,36.5516980676746,8.73883895064783e-05,0.384302034015214
THBD,132.810438441923,0.00205240942503818,2676.08298419165,2.78175730269606e-06,1182.61210076989,8.93720122446025e-09,585.080795647714
ZNF320,1504.97760298144,807.247453686707,948.537620362616,1319.73473013329,1253.83356188214,3.6740931155077e-08,8.35238161955969e-08
ARFGAP1,223.469444401713,1797.04501562267,3282.7947778541,1062.41895203565,3883.16614614783,0.136001754101244,3.64684958594303
TWSG1,973.147431035191,3788.5419087482,1.86357400180984,4796.73393829848,1443.02481357767,150.229653297617,2367.44024086499
MS4A7,351.577570172409,448.549072342304,1036.15741743275,0.00162148845942262,2.0943050152563e-12,7.94295195615863e-08,292.270006269989
MMP24,1791.87555211558,3212.34465917908,2.83747381701783e-07,2587.535777265,2431.46277299004,53.1804724837453,3026.05569961014
FXYD6,294.867799991932,1616.23976680978,2764.020096523,393.500619260621,6.55036649832067,836.330418125479,3797.52376602467
