S5,S2,S1
MAPK10,179.620230580369,645.388168396682,602.425627613094
MLF1IP,0.25554904794896,1313.7028884543,294.734037240378
SPEF2,82.9086275472956,232.599956039112,153.719271067058
CDK18,468.341840825895,377.999045388704,0.384562082475313
MAMDC4,273.854800671871,602.599112324284,233.85961834964
SLC30A1,1166.1359916101,2.5630837861248e-11,5.49393507766534
RAP2B,122.548701919619,127.470591309018,133.724724072373
TEAD2,422.517755177734,1067.50500505598,235.847890167581
ZBTB46,172.937315546849,547.037804655957,15.2050739634552
CHST10,591.979463629891,987.249300450505,0.0199138912234874
CDKN2B,0.00105501502921321,4.15748350324087e-12,1090.2885481588
TSC22D2,1477.02008039535,81.4698473443068,218.036712265314
SLC35E3,542.612402313196,1.499436951251e-08,381.678983258287
KLF15,134.176474859262,329.302147597898,891.006940943969
GDAP1,532.949299226454,8.6065411090258,339.410934369795
BTNL9,153.072769329039,254.156922791084,396.558498598108
KCNK1,447.126797129308,31.3822485622932,543.699376165391
CLIP4,999.338769746694,2.20639305898181e-14,410.421683475805
PTPRB,388.972719440422,180.67991711247,159.307855521589
GGT7,748.791707130305,393.261837001601,5.12167184678372e-14
PCDH12,0.148837896449017,146.686870661938,2.80155262639647
THBS3,286.147767257755,1911.11655362825,0.166777501588502
SLC43A2,196.674150174307,209.551271884036,277.121549691472
MAP6,501.849983345031,577.416345334462,518.336219223728
NUMBL,351.878321374247,1574.93958439344,229.139805757914
CDK20,889.68909641005,542.537614812181,329.483015116042
LTB4R,504.063781699068,264.272825993175,333.80317527136
TRANK1,259.845499444905,0.00585961381457135,204.545312887386
HERC5,338.849477996877,1.65880508273476,845.75265303412
C19orf47,440.860888325032,1632.94280301196,360.54174919089
C1orf51,524.746508311489,671.883751943054,512.065625559155
HOXA10,593.511894813856,805.317435300618,791.944783052395
PDE9A,232.254539827929,1440.92135638331,530.962245184021
DBNDD2,189.55572556531,344.167908501732,0.0784608711864415
GIMAP5,2.28626603561429e-10,4.47073623724404,4.97881661242205e-06
TRPS1,510.955146212662,369.227812879026,239.468791910108
FRY,791.864814816267,0.339633262424846,635.719342507812
CCDC106,433.971714881496,921.528962745376,0.00020475171428695
FHL3,165.134336646849,487.847467187357,0.0058792444068235
NCAPG,250.451032812861,1016.10481029334,316.185067108897
FAM131C,1.22162171971165,297.374634786084,639.26013490837
MPDZ,418.779644176818,60.4623322798159,634.96260486411
RGS14,622.953226696234,437.815111893203,199.48622573604
ZNF616,210.636843941309,467.566642447395,1296.87682156776
ECT2,1027.64859776436,0.00094193360793355,149.126346039363
