S8,S7,S5,S2,S6,S3,ITTH
TCGA.YZ.A982.01,5.47906266860937e-06,0.129284664856483,5.25211069064668e-05,0.537907822349661,0.310331545329802,0.0224179672944792,0.584269473010599
TCGA.YZ.A984.01,0.181817541696306,0.0111986388811152,0.0918470767321157,0.140347681234082,0.574740635787297,4.84256690835688e-05,0.655187926649923
TCGA.VD.A8K8.01,0.250941312139221,0.110310616498399,0.084237353959096,0.043408580672417,0.460165305853088,0.0509368308777789,0.805640561941984
TCGA.YZ.A983.01,0.484565975281491,0.0376555078756008,0.194606490291117,0.283155282228213,3.81870877149461e-06,1.29256148056717e-05,0.642131922451416
TCGA.V3.A9ZY.01,0.195948084247606,0.199757731610146,0.34820085639112,0.239988431659651,0.0160727179152727,3.2178176203765e-05,0.791225874939283
TCGA.V4.A9EE.01,0.477944822221197,0.0124361204192001,0.000348803027950518,0.00178799452406744,0.338165851822023,0.169316407985562,0.607695901406381
TCGA.VD.A8KA.01,0.249275027259028,0.200526743902837,1.94829268373344e-06,0.348624337525232,0.107136275890454,0.0944356671297646,0.836077942480186
TCGA.V4.A9F2.01,0.181072456002356,0.125330367268597,0.204029043732361,0.254399251269485,2.40312022257972e-06,0.235166478606979,0.883308440567294
TCGA.V4.A9EF.01,0.209127120021057,0.0754967453497889,0.10008426254543,0.0701592237976988,0.53554539757906,0.00958725070696548,0.735629150447485
TCGA.V4.A9E7.01,0.125215070578283,0.0261057825731039,0.12873494345394,0.0854561891828778,0.526365609464807,0.108122404746989,0.785684857269431
TCGA.VD.A8K7.01,0.736777521344443,0.117887659472895,7.57337248637332e-06,0.145303319153003,1.96059934482888e-05,4.32066372306959e-06,0.422905453843959
TCGA.VD.AA8R.01,0.624603602963831,1.01229359369133e-05,0.196580538788501,0.178755588819883,3.98197723054879e-05,1.03267195428837e-05,0.514658793647167
TCGA.VD.AA8S.01,2.13526820096979e-05,0.374479815894628,0.0306690048386933,0.486931898255913,0.105677463931015,0.00222046439774085,0.600745003989238
