S6,S5,S2,S7,S9,S8
NDUFA2,1969.93077547854,660.701253826466,1983.2733068673,17208.6353369193,13.5088242080628,10269.6793075497
NME1,1768.12387027757,1.8224522834394,2531.90291227564,202.237332874605,582.863437170462,15949.6854494894
GIPC1,2650.23527657065,0.0933025243791235,292.640723569924,5749.07766563364,930.523967537079,6728.90586314469
C9orf5,218.420346666193,4021.61144222893,8423.20677411094,328.951902570109,5800.96012415165,0.242449143497207
SEC16B,3145.60593736599,2969.6361770351,4400.51606714895,2964.19182673806,2181.51228698591,4.57519912443984e-11
CYP4V2,1582.24122487534,10865.6384508901,42.9982297169386,6005.75254462648,1163.88265736739,35.0507649199141
PPAP2B,512.662830198887,11234.201659872,2379.48143056695,0.000219195576429891,3421.11635220665,3.01585285705768e-06
STMN1,3856.08752141176,6.43095927243667e-05,331.438855015776,0.106998328316964,267.309895849757,6826.51921320414
CAPN5,4437.02521833,3763.43014730709,0.00257045033637118,3771.58566616651,975.548767211437,1.12754049731865
GTF3A,2080.48107636407,2412.13244341777,1023.69131488502,5412.35613149246,593.151587058367,14445.6746582322
ALCAM,1657.04999128787,2060.67520451334,5931.84921747661,23.3510121845568,3734.5767930519,5644.62210845391
MUT,2186.39420660834,9721.32617610715,1862.4963161781,127.32478524183,3804.78915809732,9.5108624594601e-06
MAF1,1517.99334639537,115.824371052275,2359.62034973873,410.305563290554,672.63256984644,13501.3487796559
NDUFB10,1087.44167468657,2849.10599032157,1304.28957862474,14387.3335010489,3.67380440772507e-05,11352.4567839102
EXT1,2689.00126642748,707.216960898128,98.8323854297089,5072.09579640384,2916.22423630796,3405.78554153876
LTBP3,2618.97615248274,2950.7766313473,1201.86849208535,2212.70579418812,3168.56133555162,741.20591232777
MARCKS,1828.66803167849,0.297899080152084,35.9521487416833,9.51695326672144e-05,4111.26791005398,6407.76278828043
PIK3R1,2061.9547903493,8510.07904939678,2851.20088132079,0.0101442450013705,3652.48867686006,2.64171975499278e-10
LDHD,340.196904622613,7791.50774083546,3188.21786721749,12397.8549385501,8.20402418173229,30.4279506047581
LSM4,2937.44920425545,237.144402736124,779.377801375001,5338.09813590602,181.515666532929,15372.7039737977
CISD3,1524.71389031458,2993.7939348318,2979.441656433,12051.7835452567,0.269414629713907,12778.0871936642
ACACB,3347.38835754815,7649.7656771174,0.171504308591498,4111.6328166989,0.215378579354903,316.669621814415
