S3,S6,S5,S2
ALOX15B,0.102989943851026,31.9652034141766,0.0248672910653401,1194.94217204271
PON3,2.78834329832446e-15,61.7063358646849,2425.64453501715,0.530269197694692
ROS1,0.00443602092196925,13.6084675144279,0.352646219132646,300.914795957584
TGFB2,0.499983435292692,503.7856598284,48.9602648070076,0.189097391961458
MUC6,2.05552146748911e-16,201.143203769178,173.817283993768,4.81811444287074e-15
DPP4,0.00445967667330128,93.9833545416211,173.161337021347,33.0074622943583
GRTP1,382.917828129928,430.502858891257,35.553870272919,424.380890019664
WNT10A,9.96018789980378e-15,326.574023622581,0.00508002739711425,418.490224412581
HOXB13,2.21109799657392e-13,468.416929784932,6.97060730221681e-12,1.67191337679159e-16
GJA5,16.2472449654311,158.152562777466,104.487769050936,4.2813260891954
TMEM45B,33.9136454737448,0.00309953746894699,2615.45994817482,695.466772186246
FAM83C,350.450602609553,60.6067829514992,2.93478030164942e-12,2491.26838676954
SEMA3B,4.32648405770171e-13,269.762232459848,121.778195990628,0.00136601226099741
HAP1,1367.58586935277,275.065129619264,7.79597986550272e-12,129.485354421171
CCDC8,1.0030792638961e-12,577.139582161646,1.41267921598263e-11,9.77352867820861e-10
PKDCC,1.53113365058172e-05,544.514348446262,411.700180082524,3.5609631885688e-11
CYP4X1,1.34204462078029e-13,688.23115720968,61.0925147518742,913.525642698253
CSF3R,4.54481403632049e-11,73.037774914346,129.509779374629,678.34136547989
PRSS12,0.303434293061417,508.049595026938,6.48033224940299e-09,1080.87963599291
BOC,0.841063468979509,690.772125967425,6.58930747149752e-10,0.00166153046742898
RSAD2,20.1689541865116,232.474998316368,1224.07518835643,274.753211816097
TMEM20,1835.0105785312,186.826398986107,18.206831084326,12.5501590086837
GPR160,834.917892784055,365.357473917916,1708.76968256804,281.258689571106
TPPP,564.893739310591,483.947320389663,2.76633544518006e-13,763.834836602725
TMC5,1.75707225230654e-08,176.243070082513,187.41057493716,523.705655070201
PLEKHB1,6.12276127180393,497.685651395533,843.240961789787,4.84400230350868e-15
SCEL,0.0347706405329505,0.00349001132238353,0.147066858182583,2309.83510199715
ERO1LB,37.0950666549304,821.065168417048,677.983731868824,5.0130040970758
ABI3BP,5.51696473261528e-06,249.565135966813,1.75537417993091,2.69250283648617e-08
FLRT2,62.5902513186503,94.7688947987985,0.300404248484264,438.755012973418
IL6,719.661842750028,1.65126942026768e-05,436.156359891324,4.18776486197478
BCL2A1,2.21172894565083e-13,183.534890383871,1582.59606564878,0.00285972792088806
RASD2,0.000790228210465538,111.915771404214,2.36798626344833,5.93738884283634e-10
GATM,287.563412271434,669.621177078874,1093.71786127355,664.369412443936
CXCL11,5.58829459336453e-14,48.9325023055104,1469.13289019467,4.97163054235033e-06
CAPNS2,236.71387388489,312.309164090604,0.802295349648032,1816.45018189849
CIITA,5.32332983674472e-09,420.223406138339,1.84547008996137,8.92551027502636e-07
WDR7,326.186644976904,723.475528665563,30.5114887800481,151.312965169676
IRX2,72.5613351466895,573.030145937895,349.228988383376,0.0078035473576807
PCP4L1,0.0510748308567071,307.90265249542,0.0104730384862509,1547.93739472731
WNT11,1315.28096973999,0.0730929551820822,5.59801741045577e-12,1.03791581526511e-14
GPR110,0.278224001600098,52.0303016242439,512.322185103847,1114.81669144569
CILP,0.0893656990553999,86.6551710636661,0.0965236573180441,0.14467428116828
IGF2BP1,189.944407777303,807.036869716184,3.24955163501467,2.86609581974092e-08
EMID1,113.253665717273,592.834126306469,249.618606908701,4.14987305540075e-09
CD200,300.358155013229,563.918751797431,31.1292740294127,6.73118071437052e-08
ANPEP,154.335105436519,238.3053347128,25.1354049676984,79.2705554543469
EDN1,1014.27421299345,198.0102616883,226.384469434209,175.52209206772
PDK4,3.46235520885828e-08,245.748770388555,22.91552890447,0.0146792108761112
AG2,3.50321941165013,19.2198409082843,98.1358163062059,179.0445613189
TBX3,301.330344840229,746.027979438103,1.91862938228443,244.778651129738
INPP5D,6.06977257296129,457.682659263716,49.3348394783346,53.4967903874586
ENTPD3,1600.73737950924,71.8467333449644,558.450596280338,307.683068628782
ITGBL1,102.840747126853,209.360793999187,100.367537426912,0.0371165413596954
C9orf72,952.135075728892,388.499612299413,1193.91778922272,1.37261427440963
C19orf21,0.188726975894151,412.306436897125,806.592981450774,583.069718924482
ALOX5AP,0.000808339318027341,40.5049974616593,1264.87794431029,203.325788852266
SDR16C5,5.79290362194347e-12,52.4750994613108,431.16222097717,1348.08587049222
FAM101B,132.730918116635,317.984228061506,253.440083823433,1.16772869334685
FLRT3,0.0149524108317154,192.503980458062,311.416134028059,468.616421105869
