S2,S10,S11,S6,S9,S4,S5,S3,S7,S12
MS4A7,632.817780600879,643.159430133306,60.4579046175093,221.279519791083,1.42730913090015e-06,956.743129499208,1080.07441353642,220.106673965245,146.167243761413,644.065157974025
COMTD1,714.565555449204,618.442974368054,517.039005755929,1821.3012555729,400.424543141242,231.968608817862,46.073095624542,210.691525717829,1264.88843596787,306.494198697505
CD300LF,93.8807885492695,123.124849997771,17.2684630159791,77.4719451221146,0.120977674592257,14.4911470254776,323.563229718435,191.508813692661,1725.25008176444,2431.20905793992
CCL4L2,96.9095798653742,0.00972148937368178,9.3335369838883e-05,156.400351123607,763.117965956438,200.839724391867,518.901553892097,170.673691272028,1159.61293553563,1539.37334489555
TTC9,2101.1014802441,683.196753600461,986.695370672029,15.7069674299125,6.73461878119467,8.5113188004327e-09,633.87896847825,1272.00707728282,5.47335805331647,151.52066811745
SLCO4A1,267.028321686996,1542.86176712924,9.07204219322881,797.370450273289,11.7913804755859,493.225791343547,658.937558042325,23.7191100094441,20.662434829667,444.833721153189
FAM108C1,8.25236188520216e-10,0.000272430392070937,0.000269350407627923,514.486391396219,269.618731260774,914.33842283097,1206.74140669519,40.4141338122112,0.0365724653881884,603.100340646545
CBWD3,426.027508569736,0.00530669318720873,158.938610548247,1593.77979829893,533.573532187826,416.039626097569,528.339600171342,82.0649727552752,179.76606497871,257.875068104193
RIF1,0.637476440814161,126.048423054344,102.07605130357,1.15072720839512,0.381108509547386,1258.6243937753,711.406257580386,1032.46635166951,3.21846872117447e-05,69.0189662589342
C1orf162,313.714891884015,0.088890075345803,354.486923604019,506.890045584122,846.923791890588,224.623449439607,199.521595143291,252.10928521809,969.18275315159,2826.68581042937
SORT1,769.70877895747,18.4446661425731,0.003282133758811,354.867469089451,19.2779908467793,630.889261748632,209.192792977586,59.3101889104998,579.966653976906,945.509129034216
LAX1,127.178305741495,241.437178335027,0.00124962125941464,1.41216197995793e-07,1533.25246953858,413.118752949673,197.088884314241,840.992233666987,35.8977200784926,149.235351788263
TRERF1,128.814655883351,1.35276580309499,113.5100229356,0.469443267433355,14.7270907670784,967.392469824313,438.868322020717,749.451528285994,2.21740413287933,995.036946134515
PDE1B,3.94302326754468e-05,373.067064041692,1181.46718494761,435.380288124846,984.085727675159,339.694888488772,557.817281039761,571.269169374496,26.4676825981906,260.668650179938
GADD45A,386.669797410389,1534.12035167952,115.457878420086,307.886247585764,144.349073754598,65.7035707211358,1805.85012585297,0.0414118907492277,428.058317001747,262.995277462204
