S5,S6,S1,S2,ITTH
TCGA.3B.A9HS.01,0.0788987939485958,0.726413343076394,0.09381630395299,0.10087155902202,0.639082823559559
TCGA.DX.A6YX.01,0.0595593149486882,0.873245269688866,0.0462253108095889,0.0209701045528574,0.367535152613229
TCGA.RN.AAAQ.01,0.0361968539384337,0.32467457266065,0.639124058500949,4.514899967102e-06,0.556541274330085
TCGA.X6.A8C2.01,0.0323798881220734,0.632818566560687,0.0240496506203982,0.310751894696842,0.615650389031993
TCGA.X2.A95T.01,0.455449548145336,0.522706509645437,0.00130446307047612,0.0205394791387506,0.566808954629902
TCGA.DX.A6YS.01,0.0189655729448655,0.905808064624001,0.0240468075775513,0.0511795548535821,0.293284063580177
TCGA.DX.A3UA.01,0.0206174656182599,0.732115951572941,0.0413630010688797,0.20590358173992,0.552170177849901
TCGA.DX.A1KU.01,0.190105633891175,0.452216002390661,6.40669414985945e-07,0.357677723048749,0.75181074974906
TCGA.DX.A3M1.01,0.031329979083119,0.679141930333798,0.037034397715486,0.252493692867597,0.606555816537004
TCGA.MB.A5Y9.01,1.22184394517813e-05,1.58978240165013e-05,0.999943680510197,2.8203226334372e-05,0.000480171580282746
TCGA.SI.A71Q.01,4.69397022716186e-07,0.854005603789045,0.028257833340376,0.117736093473557,0.351610859450836
TCGA.DX.A3U7.01,0.530839976590921,0.412570359740906,0.0187125131041949,0.0378771505639778,0.649128320303366
TCGA.DX.AB2O.01,0.058920050172676,0.798417674396492,0.072625963788564,0.0700363116422677,0.521710367206053
TCGA.QQ.A5VA.01,0.100581768188395,0.699330469948928,0.033899309131896,0.166188452730781,0.644951218610818
TCGA.DX.A6Z0.01,0.0374866328334437,0.801506257168198,0.0260871520351586,0.134919957963199,0.480285657647673
TCGA.DX.AB2P.01,0.0290103043199858,0.460974157153947,0.0925622627225219,0.417453275803545,0.753556016628906
TCGA.DX.AB2Q.01,0.0161418480057829,0.658746085881328,0.130567077083707,0.194544989029182,0.667884142855386
TCGA.DX.A7EI.01,0.0173461525552671,0.728863276709732,0.0648746968855233,0.188915873849478,0.572112283994845
TCGA.K1.A42X.01,0.586515319349001,0.380532473368075,0.0329522072829245,0,0.572071325209478
TCGA.DX.A7EL.01,0.933932454459357,0.0206704342141733,0.0453962825691688,8.28757301106796e-07,0.20515751225919
TCGA.DX.A48P.01,0.911355071884393,5.05693192267815e-09,0.048619367885556,0.0400255551731187,0.259986820490797
TCGA.DX.A8BG.01,0.0655420434938363,0.934201733105066,4.79148454574221e-05,0.000208308555639812,0.176321120172131
TCGA.DX.A240.01,3.98802254472268e-11,0.585106442479425,0.12573156778098,0.289161989699715,0.673085963450918
TCGA.3B.A9HT.01,0.214165826564754,0.628203911395378,0.0328443474491591,0.124785914590709,0.716998483941751
TCGA.DX.A6BH.01,0.37824713631561,7.82595067852308e-10,0.0270323385175055,0.594720524384289,0.558608363313386
TCGA.IW.A3M6.01,0.44846694133848,0.353905442311946,0.0700969636062776,0.127530652743297,0.848442333611532
TCGA.DX.A8BZ.01,1.49186941476308e-07,0,0.786517007248229,0.21348284356483,0.374045541614695
TCGA.K1.A6RU.01,0.0591563384863162,0.900693000607379,0.0399157717764707,0.000234889129834678,0.282771019300201
TCGA.DX.AB3B.01,0.00513913302600535,0.740962596924743,0.130290412745767,0.123607857303485,0.557733096891662
TCGA.DX.A3UB.01,0.624261540855565,0.0129553739593041,0.140267982470618,0.222515102714513,0.692747349669868
TCGA.DX.AB2V.01,0.2198748017778,0.780123054119488,3.61074421934704e-07,1.78302829032934e-06,0.379991466174652
TCGA.DX.A3LW.01,9.77712075377532e-10,0.828276859397384,0.0730276975698912,0.0986954420550127,0.415288351438266
TCGA.DX.A8BU.01,0.194211656966035,0.663290633614405,0.0268197042628388,0.115678005156721,0.67600750130336
TCGA.IS.A3K6.01,0.27854288991383,0.647512936294284,0.0739329056027601,1.12681891262235e-05,0.598821226629364
