S1,S3
AQP1,3430.23883317821,6450.8213881242
RPL9,1293.72365583853,7535.83567855737
NRP2,3666.38992145491,4.47787199194868e-18
ABCA3,2603.86709542384,12783.452165289
AFAP1L2,5270.27549964748,2.00145624636015e-08
ALCAM,3131.44853533863,2177.63659566727
TBC1D10C,2.36629303665595e-10,10062.0444338295
ANO9,493.780435730677,14878.9580441436
ENAH,2710.19693356295,2780.78765363118
JUN,4289.38114213093,284.256189331292
NDUFS8,310.868966815943,18531.7462322954
ALDH1L1,3225.07258658271,1.74501081700193
COL7A1,3254.30400166726,3068.73030707932
RHOBTB3,3909.07184878092,4.77261781645571e-08
UQCRQ,441.089941166008,15835.9160112778
RHPN1,2.04487570785633e-06,9737.58895998551
MYO10,5081.42033121471,0.00013792204788365
GADD45GIP1,224.671950463995,18138.3468428819
C3orf58,4907.21153681058,7.98080130641593e-12
PHPT1,1094.23309566969,17841.5738415542
TDGF1,3841.53433473136,122.403443323261
CAPG,1058.95445985939,15542.7457698464
NOTCH2,5348.77280500975,5.97203508746851e-11
MRPL28,535.844777838574,16876.9679223609
NPIPL3,578.935156128545,7542.4499660704
H2AFX,5.80262496296495e-05,9070.07878498038
HLA-H,3738.48814356203,5037.0830593492
FOXC1,5239.46970547618,1.36978953768807e-05
AIF1,0.0674487452141326,10959.8837675587
NDUFB10,443.059572476778,16648.2516245831
BCL11B,0.000924804871503163,4.62295748700073e-05
AURKAIP1,222.497504287472,16169.3892887359
SEPP1,3408.23579283433,1819.02692093446
WDR34,29.4471025812817,13920.8238544913
NDUFA3,29.5970736614976,15805.9129706447
LSP1,1143.41426366097,9980.84521307048
MRPL23,31.8376931315338,15480.3340036707
LOC642587,2415.16967690318,11014.7529839315
IKZF1,0.220668626606651,1.92985884068474
F11R,5165.27694074597,4776.72709839732
ELOVL4,2.11174228276134e-14,8.56447129497093
PRSS8,2394.35970830379,10416.6049667391
SGPL1,4593.66305306865,612.429395569781
CHI3L2,1.15876778276682e-06,3552.52202277963
STOM,3766.5947136923,5955.87289637514
BAIAP2,4444.85681814175,7696.73625690111
WNK2,3470.39282078061,9973.51556055088
ANKH,4789.55961598376,0.00322614602239322
TAP1,3842.93716525462,5884.12243457108
CHID1,4149.70794404577,7511.21486031891
SLA,0.000384602856003623,1.79081813562523
NDRG2,4969.99357654685,1844.93427686529
KIAA1217,6022.36768805772,5.83984595746666e-06
CLIC4,3101.17701936348,0.650408735984722
RGS10,8.2082595141399e-05,4843.67866625514
TIMM13,340.80558601312,14941.0208417979
FIS1,1194.66391148609,15051.3221006188
BLOC1S1,406.348353718819,14813.8915957038
RHOB,3182.21878899161,1733.51867685123
C10orf58,3545.38389240117,5706.06757985256
PAX9,5204.98583301753,0.0415478799904569
RFXANK,427.055948877384,13742.2772743307
JUND,1573.68938842636,13276.0293873236
SF3B5,238.473710315294,12181.6547433879
C5orf13,706.206289938679,9.7571827963726
TXNDC5,4483.66053206751,406.756462319906
SIX1,5460.01417805817,0.010496579109792
NFIX,5377.75566497915,2.1888380753997
NDUFB9,1279.39597971919,14818.6791250676
FKBP4,1974.55790996692,11503.0314223918
VAMP8,1526.38014529349,14729.5348473397
CLTB,1359.67221605796,14986.8254575859
TMEM219,984.436165776714,15183.3818068255
CDK6,772.348975246635,0.371728253482801
MAP1A,0.35482814950954,3773.33220187783
RGS12,4380.40582716696,6678.84265843435
TMC8,582.467228086058,8121.23142232031
PTPN7,5.31679239267798e-08,5290.26433679995
CD46,5931.53284683119,2.22938723365041e-05
LAIR1,0.00558287438820769,2824.40595141461
TNIP1,1958.38785365675,12506.6837241402
TMPO,1363.96435168999,0.00444135709176041
C20orf199,2136.11068248071,13613.2957314238
IVNS1ABP,3486.71490561417,1950.10180848827
PEA15,3289.08484126285,4548.77465358804
C22orf9,2669.23359797137,7030.15602972101
TTC7A,0.5764369054649,2358.04762101031
POLD2,659.333860901353,12903.9395327238
DRAP1,916.656976968036,12315.5326745602
TYMS,108.563658706604,107.634868343149
SERPINH1,4290.97422230828,1993.55753698813
XBP1,2131.21845252846,620.750678522748
COX5B,1083.79878687448,13309.8296672621
SERINC1,5527.01654428019,1.10602276165486e-09
CUTA,1835.57383091311,13312.2675682847
MALAT1,3442.80826720944,138.610406620713
CYC1,1609.79237594429,11461.3980558474
SEMA4B,3704.20143170972,1679.90681407913
GPSM3,644.755227875476,5396.77680100183
